date,open,high,low,close,volume
2020-07-27,11.27,11.34,11.22,11.33,14069
2020-07-28,11.28,11.29,11.26,11.27,2412
2020-07-29,11.32,11.34,11.32,11.33,3517
2020-07-30,11.23,11.23,11.05,11.2,15578
2020-07-31,11.25,11.25,11.2,11.25,2651
2020-08-03,11.32,11.4,11.29,11.37,37698
2020-08-04,11.31,11.49,11.31,11.44,7687
2020-08-05,11.66,11.68,11.54,11.54,13771
2020-08-06,11.64,11.64,11.58,11.61,8838
2020-08-07,11.49,11.5,11.41,11.46,6370
2020-08-10,11.56,11.56,11.52,11.52,10024
2020-08-11,11.52,11.54,11.38,11.38,1740
2020-08-12,11.49,11.5,11.45,11.5,6322
2020-08-13,11.53,11.53,11.52,11.52,3270
2020-08-14,11.56,11.56,11.5,11.51,2567
2020-08-17,11.66,11.69,11.66,11.69,1475
2020-08-18,11.74,11.76,11.67,11.76,6070
2020-08-19,11.71,11.76,11.7,11.71,5974
2020-08-20,11.57,11.7,11.57,11.7,2719
2020-08-21,11.53,11.57,11.52,11.57,46732
2020-08-24,11.64,11.67,11.62,11.63,21840
2020-08-25,11.73,11.73,11.7,11.73,2763
2020-08-26,11.73,11.77,11.72,11.76,5878
2020-08-27,11.77,11.77,11.66,11.72,3488
2020-08-28,11.74,11.8,11.74,11.8,1492
2020-08-31,11.81,11.81,11.77,11.79,41179
2020-09-01,11.89,11.89,11.8,11.8,11452
2020-09-02,11.71,11.75,11.63,11.65,7929
2020-09-03,11.54,11.54,11.49,11.54,1807
2020-09-04,11.53,11.53,11.41,11.45,7574
2020-09-08,11.09,11.18,11.08,11.16,16444
2020-09-09,11.16,11.19,11.16,11.19,723
2020-09-10,11.26,11.26,11.14,11.15,1778
2020-09-11,11.18,11.25,11.18,11.2,3634
2020-09-14,11.2,11.25,11.19,11.25,2939
2020-09-15,11.22,11.31,11.22,11.3,1809
2020-09-16,11.41,11.52,11.41,11.5,2824
2020-09-17,11.42,11.63,11.42,11.62,5700
2020-09-18,11.66,11.68,11.66,11.68,663
2020-09-21,11.46,11.47,11.28,11.37,12850
2020-09-23,11.31,11.31,11.31,11.31,260
2020-09-24,11.16,11.29,11.16,11.27,7735
2020-09-25,11.25,11.29,11.23,11.29,4069
2020-09-28,11.28,11.37,11.28,11.37,10614
2020-09-29,11.2,11.23,11.19,11.22,629
2020-09-30,11.25,11.39,11.25,11.36,7614
2020-10-01,11.28,11.28,11.12,11.22,20926
2020-10-02,11.13,11.13,11.06,11.06,8232
2020-10-05,11.3,11.38,11.3,11.36,20882
2020-10-06,11.54,11.54,11.48,11.48,4257
2020-10-07,11.44,11.44,11.39,11.44,1932
2020-10-08,11.52,11.56,11.52,11.56,31251
2020-10-09,11.59,11.61,11.58,11.6,9224
2020-10-12,11.56,11.56,11.48,11.48,29640
2020-10-13,11.49,11.51,11.46,11.51,3886
2020-10-14,11.58,11.6,11.55,11.6,2047
2020-10-15,11.46,11.61,11.46,11.61,869
2020-10-16,11.54,11.58,11.51,11.55,16532
2020-10-19,11.62,11.63,11.56,11.56,1799
2020-10-20,11.63,11.7,11.63,11.68,36566
2020-10-21,11.7,11.7,11.6,11.6,6021
2020-10-22,11.64,11.64,11.63,11.63,10500
2020-10-23,11.6,11.6,11.53,11.54,4911
2020-10-26,11.38,11.38,11.38,11.38,553
2020-10-27,11.41,11.46,11.41,11.45,7511
2020-10-28,11.17,11.19,11.12,11.14,9294
2020-10-29,10.95,11.03,10.95,11.02,3644
2020-10-30,10.99,11.02,10.96,11.02,16542
2020-11-02,11.08,11.22,11.05,11.2,44518
2020-11-03,11.29,11.32,11.25,11.27,17079
2020-11-04,11.33,11.42,11.27,11.41,3489
2020-11-05,11.47,11.47,11.46,11.47,1430
2020-11-06,11.44,11.44,11.36,11.41,5529
2020-11-09,11.67,11.67,11.55,11.55,7889
2020-11-10,11.69,11.79,11.66,11.77,4500
2020-11-11,11.88,11.88,11.75,11.77,701
2020-11-12,11.79,11.79,11.69,11.69,261
2020-11-13,11.67,11.67,11.6,11.6,1739
2020-11-16,11.73,11.8,11.73,11.74,23603
2020-11-17,11.69,11.75,11.69,11.75,1431
2020-11-18,11.83,11.86,11.82,11.82,8770
2020-11-19,11.73,11.73,11.72,11.72,3800
2020-11-20,11.79,11.84,11.79,11.84,77648
2020-11-23,11.9,11.91,11.85,11.88,8343
2020-11-24,12.06,12.16,12.06,12.13,4810
2020-11-25,12.21,12.25,12.15,12.22,241096
2020-11-27,12.19,12.23,12.19,12.2,10558
2020-11-30,12.17,12.17,12.08,12.12,31570
2020-12-01,12.16,12.16,12.05,12.09,117265
2020-12-02,12.04,12.23,12.04,12.14,8347
2020-12-03,12.09,12.18,12.09,12.16,4704
2020-12-04,12.2,12.25,12.19,12.22,21844
2020-12-07,12.16,12.3,12.14,12.21,86327
2020-12-08,12.18,12.23,12.17,12.23,4988
2020-12-09,12.22,12.25,12.22,12.24,1961
2020-12-10,12.44,12.5,12.42,12.42,2500
2020-12-11,12.4,12.4,12.38,12.39,8666
2020-12-14,12.45,12.45,12.3,12.44,6882
2020-12-15,12.49,12.52,12.48,12.52,4935
2020-12-16,12.56,12.6,12.56,12.6,5506
2020-12-17,12.71,12.74,12.7,12.74,5812
2020-12-18,12.77,12.8,12.76,12.79,7032
2020-12-21,12.55,12.66,12.55,12.63,7873
2020-12-22,12.55,12.59,12.52,12.53,10740
2020-12-23,12.61,12.74,12.61,12.67,13720
2020-12-24,12.64,12.7,12.63,12.7,11723
2020-12-28,12.65,12.69,12.6,12.61,26999
2020-12-29,12.65,12.68,12.62,12.67,13034
2020-12-30,12.73,12.78,12.68,12.73,7920
2020-12-31,12.69,12.79,12.68,12.79,27337
2021-01-04,12.88,12.93,12.72,12.72,39366
2021-01-05,12.99,13.12,12.99,13.08,37662
2021-01-06,13.1,13.17,13.04,13.11,70428
2021-01-07,13.17,13.17,13.14,13.16,33170
2021-01-08,13.23,13.27,13.17,13.27,15479
2021-01-11,13.1,13.2,13.1,13.17,11136
2021-01-12,13.31,13.41,13.31,13.41,10701
2021-01-13,13.41,13.42,13.37,13.39,4368
2021-01-14,13.39,13.51,13.38,13.5,8271
2021-01-15,13.4,13.4,13.29,13.33,747
2021-01-19,13.38,13.38,13.33,13.35,16624
2021-01-20,13.39,13.4,13.34,13.37,8537
2021-01-21,13.4,13.4,13.33,13.34,29082
2021-01-22,13.2,13.23,13.13,13.13,18670
2021-01-25,13.18,13.27,13.17,13.27,3834
2021-01-26,13.31,13.32,13.27,13.3,3945
2021-01-27,13.29,13.34,13.2,13.26,3603
2021-01-28,13.3,13.3,13.2,13.2,8639
2021-01-29,13.34,13.35,13.21,13.21,55953
2021-02-01,13.4,13.48,13.31,13.46,88439
2021-02-02,13.58,13.59,13.53,13.56,44117
2021-02-03,13.64,13.7,13.6,13.66,37011
2021-02-04,13.61,13.73,13.61,13.73,59978
2021-02-05,13.87,13.87,13.78,13.83,2610
2021-02-08,13.92,14.03,13.91,14.03,18978
2021-02-09,14.01,14.09,13.99,14.07,23357
2021-02-10,14.08,14.09,14.03,14.07,14388
2021-02-11,14.12,14.12,14.02,14.03,13319
2021-02-12,14.04,14.21,14.04,14.2,29480
2021-02-16,14.31,14.39,14.27,14.39,64300
2021-02-17,14.29,14.44,14.29,14.44,36660
2021-02-18,14.45,14.48,14.37,14.37,8473
2021-02-19,14.51,14.51,14.36,14.37,9806
2021-02-22,14.58,14.72,14.56,14.71,45187
2021-02-23,14.67,14.79,14.57,14.77,44935
2021-02-24,14.81,14.99,14.8,14.99,31999
2021-02-25,14.93,14.97,14.87,14.89,64744
2021-02-26,14.76,14.76,14.56,14.56,47119
2021-03-01,14.61,14.64,14.39,14.43,50175
2021-03-02,14.52,14.64,14.47,14.5,39260
2021-03-03,14.56,14.64,14.52,14.57,64511
2021-03-04,14.63,14.93,14.58,14.8,64104
2021-03-05,15.01,15.11,14.95,15.11,40390
2021-03-08,14.99,15.01,14.91,14.91,33977
2021-03-09,14.98,14.98,14.91,14.91,15792
2021-03-10,14.9,15.01,14.9,15.01,2314
2021-03-11,15.07,15.22,15.06,15.21,11977
2021-03-12,15.11,15.2,15.11,15.17,5618
2021-03-15,15.06,15.13,15.02,15.11,11914
2021-03-16,15.03,15.07,14.96,15.05,14459
2021-03-17,15.04,15.05,14.97,15.03,13570
2021-03-18,14.7,14.73,14.23,14.32,39151
2021-03-19,14.38,14.66,14.38,14.64,18310
2021-03-22,14.62,14.67,14.62,14.62,35121
2021-03-23,14.34,14.47,14.2,14.21,42806
2021-03-24,14.44,14.61,14.44,14.57,6778
2021-03-25,14.17,14.27,14.17,14.26,11833
2021-03-26,14.58,14.63,14.56,14.59,42369
2021-03-29,14.52,14.6,14.52,14.6,6803
2021-03-30,14.4,14.47,14.37,14.37,40803
2021-03-31,14.37,14.61,14.37,14.45,53351
2021-04-01,14.65,14.71,14.44,14.69,68425
2021-04-05,14.63,14.63,14.34,14.47,18583
2021-04-06,14.66,14.73,14.53,14.54,14614
2021-04-07,14.5,14.59,14.43,14.57,84894
2021-04-08,14.55,14.65,14.52,14.64,47638
2021-04-09,14.6,14.61,14.59,14.61,15286
2021-04-12,14.68,14.7,14.58,14.61,24320
2021-04-13,14.71,14.76,14.71,14.75,3349
2021-04-14,14.91,15.14,14.91,15.1,47445
2021-04-15,15.11,15.21,15.11,15.2,9881
2021-04-16,15.18,15.2,15.18,15.18,5441
2021-04-19,15.24,15.24,15.18,15.2,19151
2021-04-20,15.29,15.3,15.09,15.16,20859
2021-04-21,15.12,15.18,15.09,15.11,2518
2021-04-22,15.13,15.24,15.13,15.24,6954
2021-04-23,15.29,15.34,15.27,15.34,60100
2021-04-26,15.33,15.46,15.29,15.44,26911
2021-04-27,15.48,15.6,15.48,15.6,27856
2021-04-28,15.56,15.71,15.56,15.61,30989
2021-04-29,15.74,15.74,15.62,15.71,39420
2021-04-30,15.58,15.61,15.48,15.58,52822
2021-05-03,15.7,15.8,15.7,15.75,106348
2021-05-04,15.97,16.01,15.91,16.01,42598
2021-05-05,16.07,16.14,16.01,16.07,100822
2021-05-06,16.09,16.16,16.05,16.15,58308
2021-05-07,16.12,16.29,16.11,16.29,117601
2021-05-10,16.38,16.38,16.18,16.2,41270
2021-05-11,16.16,16.39,16.16,16.36,163432
2021-05-12,16.38,16.5,16.32,16.34,221181
2021-05-13,16.01,16.1,15.83,15.89,192238
2021-05-14,16.09,16.09,16.01,16.03,63045
2021-05-17,16.11,16.22,16.11,16.22,154194
2021-05-18,16.26,16.26,16.03,16.15,26427
2021-05-19,15.85,15.85,15.66,15.83,40556
2021-05-20,15.76,15.84,15.62,15.63,27817
2021-05-21,15.76,15.81,15.74,15.81,29079
2021-05-24,15.85,16.02,15.82,16.02,50520
2021-05-25,15.98,15.98,15.95,15.95,2165
2021-05-26,15.95,16.02,15.95,16.02,7774
2021-05-27,16.17,16.23,16.17,16.23,5287
2021-05-28,16.25,16.26,16.15,16.18,7804
2021-06-01,16.52,16.62,16.43,16.46,38516
2021-06-02,16.5,16.56,16.46,16.54,29794
2021-06-03,16.51,16.51,16.35,16.42,39969
2021-06-04,16.59,16.65,16.55,16.61,96594
2021-06-07,16.68,16.68,16.62,16.64,33031
2021-06-08,16.62,16.79,16.62,16.79,28896
2021-06-09,16.77,16.77,16.69,16.71,7501
2021-06-10,16.8,16.8,16.58,16.76,25604
2021-06-11,16.72,16.72,16.67,16.71,21001
2021-06-14,16.61,16.67,16.6,16.63,29432
2021-06-15,16.56,16.58,16.5,16.57,17605
2021-06-16,16.62,16.65,16.45,16.45,27487
2021-06-17,16.37,16.37,15.98,16.05,133021
2021-06-18,16.12,16.26,16.12,16.21,69650
2021-06-21,16.26,16.44,16.26,16.43,26586
2021-06-22,16.42,16.47,16.4,16.43,30600
2021-06-23,16.66,16.66,16.54,16.54,22782
2021-06-24,16.45,16.59,16.45,16.58,64632
2021-06-25,16.63,16.63,16.36,16.52,37293
2021-06-28,16.53,16.55,16.5,16.52,67934
2021-06-29,16.59,16.6,16.55,16.59,58401
2021-06-30,16.51,16.82,16.51,16.75,31840
2021-07-01,17.02,17.03,16.78,16.82,25356
2021-07-02,16.83,16.97,16.82,16.96,19371
2021-07-06,16.74,16.74,16.43,16.52,44576
2021-07-07,16.54,16.54,16.22,16.32,31138
2021-07-08,16.29,16.45,16.25,16.45,65064
2021-07-09,16.55,16.63,16.55,16.63,21367
2021-07-12,16.52,16.66,16.52,16.64,47448
2021-07-13,16.72,16.84,16.67,16.81,47959
2021-07-14,16.83,16.83,16.56,16.65,8857
2021-07-15,16.6,16.68,16.55,16.55,55057
2021-07-16,16.61,16.65,16.49,16.55,52472
2021-07-19,16.23,16.23,15.83,15.89,48439
2021-07-20,15.84,16.13,15.84,16.12,66057
2021-07-21,16.3,16.48,16.3,16.45,36829
2021-07-22,16.43,16.61,16.43,16.59,25069
2021-07-23,16.61,16.67,16.58,16.66,42239
2021-07-26,16.68,16.78,16.65,16.78,15079
2021-07-27,16.8,16.8,16.66,16.7,29587
2021-07-28,16.78,16.8,16.74,16.78,4739
2021-07-29,16.91,17.05,16.91,17.05,37713
2021-07-30,17,17.03,16.94,16.98,49250
2021-08-02,16.99,16.99,16.68,16.78,109739
2021-08-03,16.65,16.71,16.52,16.71,34842
2021-08-04,16.52,16.57,16.43,16.43,18772
2021-08-05,16.58,16.66,16.55,16.66,14218
2021-08-06,16.65,16.65,16.54,16.55,26812
2021-08-09,16.32,16.32,16.23,16.32,10506
2021-08-10,16.45,16.64,16.45,16.6,17925
2021-08-11,16.52,16.73,16.47,16.73,15734
2021-08-12,16.68,16.72,16.64,16.68,14804
2021-08-13,16.72,16.72,16.6,16.6,19396
2021-08-16,16.45,16.55,16.36,16.55,57844
2021-08-17,16.5,16.52,16.36,16.38,29193
2021-08-18,16.38,16.38,16.16,16.19,18575
2021-08-19,15.91,15.96,15.78,15.93,93365
2021-08-20,15.76,15.81,15.57,15.57,30937
2021-08-23,16.03,16.14,16.01,16.1,119434
2021-08-24,16.38,16.49,16.38,16.48,144704
2021-08-25,16.52,16.65,16.48,16.64,7026
2021-08-26,16.5,16.58,16.46,16.5,29067
2021-08-27,16.61,16.71,16.61,16.71,24833
2021-08-30,16.68,16.76,16.66,16.76,15212
2021-08-31,16.64,16.75,16.64,16.7,28421
2021-09-01,16.5,16.67,16.5,16.62,38268
2021-09-02,16.85,16.92,16.82,16.82,12793
2021-09-03,16.87,16.88,16.82,16.83,10305
2021-09-07,16.74,16.74,16.64,16.64,15020
2021-09-08,16.8,16.8,16.75,16.76,8853
2021-09-09,16.62,16.78,16.62,16.63,20037
2021-09-10,16.84,16.9,16.82,16.86,135365
2021-09-13,16.99,16.99,16.9,16.98,13113
2021-09-14,17.02,17.03,16.96,16.96,7475
2021-09-15,17.26,17.31,17.22,17.24,18583
2021-09-16,17.14,17.14,17.06,17.13,5090
2021-09-17,16.97,17,16.95,16.99,21603
2021-09-20,16.8,16.85,16.74,16.78,47777
2021-09-21,16.65,16.8,16.6,16.8,6909
2021-09-22,17.05,17.05,17,17.01,4938
2021-09-23,17.07,17.25,17.07,17.25,9943
2021-09-24,17.23,17.36,17.23,17.33,71452
2021-09-27,17.57,17.6,17.53,17.57,101435
2021-09-28,17.68,17.68,17.42,17.43,18668
2021-09-29,17.4,17.54,17.39,17.46,43478
2021-09-30,17.33,17.67,17.29,17.57,72013
2021-10-01,17.64,17.78,17.57,17.78,63390
2021-10-04,18.1,18.16,18.07,18.08,76399
2021-10-05,18.19,18.33,18.19,18.32,12606
2021-10-06,18.02,18.06,17.97,18,92983
2021-10-07,17.99,18.23,17.9,18.23,31789
2021-10-08,18.34,18.38,18.25,18.29,21127
2021-10-11,18.46,18.53,18.43,18.43,18712
2021-10-12,18.47,18.52,18.39,18.41,51298
2021-10-13,18.35,18.52,18.35,18.51,29075
2021-10-14,18.69,18.72,18.57,18.71,27031
2021-10-15,18.89,18.93,18.82,18.89,19137
2021-10-18,18.94,18.94,18.76,18.76,32948
2021-10-19,18.66,18.86,18.66,18.78,84474
2021-10-20,18.7,19.01,18.69,19.01,62663
2021-10-21,18.76,18.76,18.57,18.72,46995
2021-10-22,18.78,18.81,18.66,18.8,26255
2021-10-25,18.95,18.97,18.88,18.9,8345
2021-10-26,18.88,18.97,18.86,18.93,11513
2021-10-27,18.8,18.83,18.58,18.58,14199
2021-10-28,18.63,18.67,18.55,18.67,4464
2021-10-29,18.56,18.63,18.46,18.58,16521
2021-11-01,18.73,18.75,18.68,18.72,34473
2021-11-02,18.65,18.79,18.63,18.77,11220
2021-11-03,18.46,18.53,18.29,18.29,26351
2021-11-04,18.69,18.69,18.12,18.16,19735
