date,open,high,low,close,volume
2020-07-27,38.04,38.41,37.95,38.37,594625
2020-07-28,38.32,38.33,38.03,38.05,409140
2020-07-29,38.42,38.79,38.42,38.68,572283
2020-07-30,38.22,38.33,37.85,38.21,479117
2020-07-31,38.23,38.23,37.64,37.96,1059543
2020-08-03,38.06,38.27,38.03,38.2,445918
2020-08-04,38.37,38.69,38.36,38.69,406301
2020-08-05,39.05,39.28,39.02,39.1,706153
2020-08-06,39.02,39.26,38.87,39.25,416998
2020-08-07,38.54,38.67,38.25,38.43,398873
2020-08-10,38.5,38.6,38.24,38.54,343208
2020-08-11,38.81,38.86,38.39,38.45,444954
2020-08-12,38.83,39.05,38.74,38.95,778133
2020-08-13,38.88,38.96,38.67,38.81,462720
2020-08-14,38.72,38.82,38.68,38.78,500914
2020-08-17,39.05,39.27,39,39.24,567131
2020-08-18,39.24,39.31,38.96,39.23,505847
2020-08-19,39.09,39.09,38.72,38.74,377465
2020-08-20,38.07,38.61,38.02,38.6,1039288
2020-08-21,38.51,38.81,38.37,38.79,512614
2020-08-24,39.38,39.39,39.08,39.2,349010
2020-08-25,39.33,39.65,39.27,39.62,445499
2020-08-26,39.63,39.77,39.57,39.72,507455
2020-08-27,39.83,39.83,39.24,39.41,521525
2020-08-28,39.58,39.91,39.55,39.91,486201
2020-08-31,39.17,39.17,38.78,39.01,1186291
2020-09-01,39.4,39.7,39.36,39.69,724356
2020-09-02,39.74,39.75,39.24,39.6,970660
2020-09-03,39.37,39.38,38.62,38.83,866228
2020-09-04,38.92,39.13,38.19,38.87,842238
2020-09-08,38.14,38.51,38.07,38.17,708966
2020-09-09,38.56,38.82,38.46,38.74,683606
2020-09-10,38.79,38.84,38.12,38.13,868598
2020-09-11,38.65,38.77,38.3,38.49,603494
2020-09-14,38.99,39.17,38.94,39.12,859497
2020-09-15,39.59,39.62,39.45,39.53,762576
2020-09-16,39.65,39.78,39.46,39.47,664135
2020-09-17,39,39.37,38.98,39.31,511668
2020-09-18,39.35,39.38,38.95,38.99,543685
2020-09-21,38.34,38.67,38.02,38.65,996687
2020-09-22,38.49,38.49,38.05,38.36,520657
2020-09-23,38.24,38.31,37.73,37.76,1198702
2020-09-24,37.23,37.84,37.19,37.6,868822
2020-09-25,37.28,37.64,37.05,37.6,618876
2020-09-28,38.12,38.2,37.86,38.03,1528692
2020-09-29,37.95,38.14,37.9,38.03,338957
2020-09-30,38.32,38.74,38.32,38.62,812122
2020-10-01,38.91,39.02,38.7,39,1122994
2020-10-02,38.38,38.85,38.38,38.55,485839
2020-10-05,38.76,39.05,38.76,39.05,615081
2020-10-06,39.19,39.42,39.02,39.12,701337
2020-10-07,39.5,39.68,39.38,39.56,732806
2020-10-08,39.7,39.92,39.62,39.87,409209
2020-10-09,39.98,40.26,39.87,40.17,577798
2020-10-12,40.37,40.59,40.29,40.51,550595
2020-10-13,40.33,40.39,40.14,40.33,488618
2020-10-14,40.32,40.43,40.05,40.06,449105
2020-10-15,39.49,39.81,39.45,39.75,673946
2020-10-16,39.9,40.03,39.79,39.92,343863
2020-10-19,40.05,40.21,39.73,39.8,360686
2020-10-20,40.05,40.44,40.03,40.23,776554
2020-10-21,40.31,40.57,40.26,40.35,532830
2020-10-22,40.42,40.45,40.15,40.33,420943
2020-10-23,40.39,40.58,40.2,40.56,593233
2020-10-26,40.1,40.33,39.75,40.06,3811001
2020-10-27,40.15,40.35,40.04,40.24,481857
2020-10-28,39.59,39.64,39.19,39.22,1278189
2020-10-29,39.37,39.75,39.24,39.6,735979
2020-10-30,39.31,39.35,38.92,39.16,860228
2020-11-02,39.59,39.69,39.36,39.69,1092958
2020-11-03,39.75,39.94,39.6,39.83,1249986
2020-11-04,40.41,41.25,40.3,41.1,2360625
2020-11-05,41.81,41.97,41.46,41.82,1888597
2020-11-06,41.78,42.15,41.65,42,991035
2020-11-09,43.36,43.39,42.27,42.3,1070548
2020-11-10,42.13,42.22,41.62,41.81,1391799
2020-11-11,41.76,42.14,41.68,42.07,839405
2020-11-12,42.17,42.33,41.66,41.75,713389
2020-11-13,42.27,42.36,42.04,42.35,920151
2020-11-16,42.8,43,42.73,42.87,1091271
2020-11-17,42.62,42.94,42.55,42.83,555165
2020-11-18,43.01,43.01,42.68,42.68,439138
2020-11-19,42.48,42.8,42.4,42.75,454755
2020-11-20,42.84,43.11,42.82,42.98,646095
2020-11-23,43.44,43.45,43.01,43.12,614926
2020-11-24,43.47,43.7,43.24,43.68,765720
2020-11-25,43.28,43.46,43.16,43.45,1355458
2020-11-27,43.76,43.96,43.74,43.84,491415
2020-11-30,43.2,43.2,42.69,42.69,1457766
2020-12-01,43.45,43.7,43.25,43.54,816687
2020-12-02,43.48,43.69,43.31,43.6,522705
2020-12-03,44.01,44.31,43.98,44.12,1147829
2020-12-04,44.44,44.57,44.37,44.57,966451
2020-12-07,44.48,44.67,44.38,44.54,869925
2020-12-08,44.49,44.57,44.36,44.57,970626
2020-12-09,44.71,44.71,43.98,44.19,665084
2020-12-10,44.13,44.8,44.12,44.74,683315
2020-12-11,44.48,44.59,44.37,44.45,613017
2020-12-14,44.55,44.57,44.19,44.19,649274
2020-12-15,44.41,44.7,44.28,44.7,578678
2020-12-16,44.77,44.96,44.69,44.89,849570
2020-12-17,45.2,45.24,45.05,45.19,670522
2020-12-18,45.1,45.16,44.96,45.06,892562
2020-12-21,44.14,44.66,44.13,44.47,1026071
2020-12-22,44.37,44.38,44.06,44.15,948484
2020-12-23,44.54,44.66,44.48,44.59,814436
2020-12-24,44.47,44.54,44.15,44.4,576889
2020-12-28,44.59,44.64,44.4,44.52,521502
2020-12-29,44.87,45.2,44.86,45.16,653702
2020-12-30,45.71,45.93,45.67,45.77,546882
2020-12-31,46.03,46.03,45.47,45.75,672025
2021-01-04,46.58,46.74,45.89,46.08,833278
2021-01-05,46.47,47.15,46.47,47.13,1079983
2021-01-06,46.78,47.3,46.62,46.71,1043293
2021-01-07,46.99,47.17,46.77,47.16,648631
2021-01-08,48.03,48.44,47.75,48.44,1624158
2021-01-11,47.76,48.01,47.74,47.79,747835
2021-01-12,48.07,48.34,47.94,48.27,1223812
2021-01-13,48.35,48.57,48.1,48.34,564826
2021-01-14,48.87,49.11,48.74,48.79,742105
2021-01-15,48.29,48.39,48,48.11,706327
2021-01-19,49.16,49.16,48.81,48.9,694385
2021-01-20,49.75,49.8,49.54,49.75,743514
2021-01-21,49.93,49.97,49.67,49.86,542832
2021-01-22,49.16,49.52,49.11,49.43,685142
2021-01-25,49.98,50.02,49.35,49.8,698239
2021-01-26,49.41,49.51,49.17,49.43,519055
2021-01-27,48.4,48.57,48.03,48.06,693421
2021-01-28,47.96,48.56,47.88,48.4,622573
2021-01-29,47.55,47.64,46.96,47.15,1127900
2021-02-01,48.17,48.55,47.94,48.47,1281753
2021-02-02,49.17,49.2,48.94,49.1,454917
2021-02-03,49.42,49.52,49.2,49.35,621828
2021-02-04,49.3,49.39,48.99,49.39,1686499
2021-02-05,49.57,49.8,49.4,49.78,438267
2021-02-08,49.6,49.95,49.6,49.89,494142
2021-02-09,49.88,50.45,49.88,50.41,455315
2021-02-10,50.86,50.92,50.28,50.57,364777
2021-02-11,51.03,51.34,50.95,51.11,791404
2021-02-12,50.93,51.31,50.82,51.16,355673
2021-02-16,51.47,51.6,51.16,51.28,851074
2021-02-17,51.2,51.34,50.95,51.29,904914
2021-02-18,50.47,50.6,50.06,50.57,751580
2021-02-19,50.91,51.17,50.76,50.92,843061
2021-02-22,49.57,49.89,49.39,49.41,850080
2021-02-23,49.11,49.82,48.51,49.67,714137
2021-02-24,48.83,49.35,48.53,49.33,735595
2021-02-25,49.36,49.47,48.14,48.23,986250
2021-02-26,47.9,47.93,47.26,47.58,1161113
2021-03-01,48.54,48.97,48.42,48.85,926674
2021-03-02,48.56,48.6,48.21,48.34,688501
2021-03-03,48.73,48.84,48.09,48.26,886858
2021-03-04,48.08,48.28,46.9,47.13,927845
2021-03-05,47.82,47.82,46.75,47.64,1445779
2021-03-08,46.8,46.94,46.25,46.35,741096
2021-03-09,47.05,47.65,47,47.4,603794
2021-03-10,47.59,47.59,46.96,47.2,534470
2021-03-11,48.27,48.72,48.05,48.68,843379
2021-03-12,47.65,47.79,47.44,47.78,752418
2021-03-15,47.57,47.92,47.45,47.9,802194
2021-03-16,48.08,48.29,47.91,48.09,661103
2021-03-17,47.48,48.39,47.39,48.16,816975
2021-03-18,47.74,47.87,47.27,47.32,863278
2021-03-19,47.39,47.84,47.22,47.82,1107289
2021-03-22,47.6,47.86,47.42,47.74,297616
2021-03-23,47.12,47.27,46.79,46.84,1105691
2021-03-24,46.56,46.56,45.76,45.77,1053321
2021-03-25,45.64,46.09,45.62,45.97,1461882
2021-03-26,46.38,47.2,46.17,47.16,5409204
2021-03-29,46.77,47.01,46.61,46.85,1194760
2021-03-30,46.82,47.07,46.69,47,1141895
2021-03-31,46.94,47.36,46.93,47.24,679667
2021-04-01,47.94,47.99,47.63,47.7,993308
2021-04-05,47.97,48.01,47.76,47.89,773665
2021-04-06,47.86,48.32,47.77,48.15,810925
2021-04-07,47.44,47.57,47.25,47.42,779506
2021-04-08,47.91,48.05,47.79,47.82,948280
2021-04-09,47.35,47.42,47.26,47.39,750217
2021-04-12,47.08,47.17,46.97,47.13,608332
2021-04-13,47.15,47.48,47.06,47.32,559940
2021-04-14,47.74,47.84,47.51,47.57,497503
2021-04-15,47.94,48.03,47.79,47.99,963241
2021-04-16,48.1,48.18,47.89,48.1,669184
2021-04-19,48.02,48.1,47.77,47.93,820146
2021-04-20,47.89,47.96,47.42,47.55,932698
2021-04-21,47.33,47.86,47.22,47.85,590594
2021-04-22,47.86,47.96,47.52,47.69,1398583
2021-04-23,48.15,48.41,48.13,48.35,640361
2021-04-26,48.28,48.46,48.19,48.41,863014
2021-04-27,48.42,48.55,48.32,48.4,939329
2021-04-28,48.63,48.99,48.48,48.75,787240
2021-04-29,48.92,48.92,48.24,48.63,836330
2021-04-30,48.01,48.12,47.67,47.8,1173164
2021-05-03,47.75,48,47.62,47.78,668219
2021-05-04,47.41,47.49,46.92,47.26,774812
2021-05-05,47.47,47.63,47.32,47.47,595835
2021-05-06,47.71,47.94,47.56,47.93,507472
2021-05-07,48.21,48.62,48.17,48.42,1112974
2021-05-10,48.22,48.24,47.51,47.53,1155532
2021-05-11,46.65,47.42,46.63,47.39,938231
2021-05-12,46.64,46.83,46.04,46.1,1391095
2021-05-13,46.24,46.47,45.82,46.06,1131674
2021-05-14,46.58,46.94,46.47,46.9,1533976
2021-05-17,46.57,46.86,46.51,46.84,579107
2021-05-18,47.44,47.7,47.39,47.47,852443
2021-05-19,46.87,47.49,46.84,47.32,958861
2021-05-20,47.39,47.69,47.39,47.6,962683
2021-05-21,47.56,47.57,46.97,47.05,1294591
2021-05-24,47.25,47.54,47.17,47.44,458130
2021-05-25,48.05,48.12,47.84,47.89,793871
2021-05-26,48.07,48.31,48.07,48.26,634016
2021-05-27,48.3,48.39,48.16,48.28,902899
2021-05-28,48.39,48.68,48.38,48.56,1098316
2021-06-01,49.7,49.72,49.41,49.57,1092250
2021-06-02,49.44,49.69,49.37,49.64,507309
2021-06-03,49.14,49.26,49,49.11,664742
2021-06-04,49.47,49.6,49.4,49.58,710544
2021-06-07,49.33,49.34,49.11,49.32,469579
2021-06-08,49.14,49.17,48.92,49.06,708836
2021-06-09,49.03,49.15,48.9,48.94,626427
2021-06-10,49.12,49.39,49.08,49.31,642817
2021-06-11,49.22,49.24,49.02,49.15,648488
2021-06-14,49.19,49.39,49.15,49.31,698356
2021-06-15,49.18,49.18,48.86,48.95,676934
2021-06-16,48.87,48.98,48.1,48.26,977390
2021-06-17,48.47,48.72,48.42,48.56,592625
2021-06-18,48.36,48.39,48.12,48.18,1133675
2021-06-21,48.16,48.42,47.95,48.42,578980
2021-06-22,48.02,48.24,47.88,48.19,1085301
2021-06-23,48.54,48.81,48.47,48.5,742021
2021-06-24,48.79,48.98,48.74,48.95,580206
2021-06-25,49.36,49.43,49.17,49.36,528506
2021-06-28,49.33,49.44,49.27,49.4,410829
2021-06-29,49.04,49.37,48.94,49.37,463305
2021-06-30,49.01,49.17,48.95,49,743553
2021-07-01,49.07,49.11,48.53,48.75,587787
2021-07-02,48.58,48.7,48.42,48.7,722394
2021-07-06,48.14,48.19,47.68,47.86,688466
2021-07-07,48.13,48.13,47.62,47.8,852935
2021-07-08,46.76,46.97,46.64,46.8,1206126
2021-07-09,47.32,47.62,47.22,47.62,880450
2021-07-12,47.47,47.68,47.37,47.67,518809
2021-07-13,47.76,48,47.69,47.71,1120740
2021-07-14,48.13,48.17,47.82,47.92,437669
2021-07-15,48.1,48.26,47.92,48.02,532160
2021-07-16,48.09,48.12,47.56,47.63,463931
2021-07-19,46.9,46.93,46.61,46.86,1213779
2021-07-20,46.64,47.1,46.53,46.98,743283
2021-07-21,46.76,47.3,46.71,47.3,650795
2021-07-22,47.44,47.44,47.19,47.39,756574
2021-07-23,46.85,46.85,46.44,46.7,788353
2021-07-26,45.71,46.01,45.63,45.82,1235983
2021-07-27,44.82,44.95,44.31,44.86,1641650
2021-07-28,45.43,46.18,45.31,46.11,1610966
2021-07-29,46.46,46.47,46.14,46.32,1180767
2021-07-30,45.75,46.1,45.73,45.89,971994
2021-08-02,46.27,46.45,46.15,46.22,1049594
2021-08-03,46.16,46.42,45.96,46.41,724160
2021-08-04,46.75,46.93,46.54,46.65,835383
2021-08-05,46.58,46.72,46.54,46.55,336798
2021-08-06,46.37,46.38,46.05,46.16,976761
2021-08-09,46.38,46.5,46.29,46.32,493206
2021-08-10,46.53,46.54,46.33,46.41,308034
2021-08-11,46.67,46.67,46.32,46.52,435008
2021-08-12,46.14,46.14,45.93,46.11,708545
2021-08-13,45.91,45.99,45.7,45.98,615497
2021-08-16,45.57,45.61,45.38,45.6,1387907
2021-08-17,44.75,45,44.56,44.77,2395274
2021-08-18,45.06,45.24,44.8,44.8,832174
2021-08-19,43.93,44.22,43.89,44.08,1557078
2021-08-20,43.68,44.09,43.67,44.01,1093362
2021-08-23,44.42,44.74,44.34,44.69,710899
2021-08-24,45.35,45.75,45.35,45.69,852432
2021-08-25,45.63,45.78,45.54,45.76,521230
2021-08-26,45.42,45.51,45.27,45.3,296486
2021-08-27,45.56,45.87,45.45,45.87,307877
2021-08-30,45.92,46.02,45.74,45.95,379793
2021-08-31,46.6,46.7,46.54,46.59,739204
2021-09-01,46.89,47.37,46.89,47.21,674243
2021-09-02,47.14,47.23,46.91,46.99,501171
2021-09-03,47.08,47.29,47.06,47.22,284952
2021-09-07,47.38,47.64,47.34,47.52,1059033
2021-09-08,47.22,47.22,46.71,46.81,783849
2021-09-09,46.58,46.8,46.52,46.72,462212
2021-09-10,47.09,47.12,46.66,46.68,581771
2021-09-13,46.73,46.91,46.56,46.79,494715
2021-09-14,46.67,46.68,46.31,46.4,1326539
2021-09-15,46.25,46.39,46.06,46.38,565403
2021-09-16,45.73,45.9,45.57,45.86,1004738
2021-09-17,45.89,45.92,45.58,45.67,905593
2021-09-20,44.59,44.82,44.08,44.45,1054947
2021-09-21,44.79,44.89,44.59,44.77,876265
2021-09-22,45.19,45.65,45.19,45.33,1151557
2021-09-23,45.52,45.73,45.46,45.67,559803
2021-09-24,45.2,45.3,45.1,45.14,665661
2021-09-27,45.21,45.54,45.06,45.44,657394
2021-09-28,45.21,45.26,44.71,44.87,820031
2021-09-29,44.75,44.86,44.42,44.45,683638
2021-09-30,44.93,45.1,44.7,44.78,1072073
2021-10-01,44.84,44.89,44.36,44.73,828896
2021-10-04,44.38,44.41,43.82,44.08,749171
2021-10-05,44.22,44.57,44.2,44.4,516474
2021-10-06,43.74,44.2,43.66,44.16,1505270
2021-10-07,44.79,45.22,44.75,45.02,1108199
2021-10-08,45.14,45.26,45.04,45.18,709830
2021-10-11,45.41,45.54,45.08,45.09,764104
2021-10-12,45.1,45.18,44.83,44.85,850051
2021-10-13,45.28,45.57,45.16,45.5,1094245
2021-10-14,45.73,45.76,45.47,45.63,691896
2021-10-15,45.91,46.26,45.81,46.19,1408146
2021-10-18,45.89,46.19,45.85,46.06,691324
2021-10-19,46.44,46.73,46.35,46.67,1266474
2021-10-20,46.77,46.77,46.57,46.69,654164
2021-10-21,46.31,46.43,46.23,46.36,884993
2021-10-22,46.42,46.6,46.1,46.27,1137669
2021-10-25,46.48,46.58,46.26,46.53,752273
2021-10-26,46.62,46.68,46.19,46.25,1642895
2021-10-27,45.98,46.19,45.85,45.88,845998
2021-10-28,45.7,45.93,45.58,45.93,728037
2021-10-29,45.34,45.41,45.04,45.27,1342997
2021-11-01,45.25,45.65,45.25,45.63,729526
2021-11-02,45.3,45.32,45.16,45.22,930694
2021-11-03,45.17,45.5,45.02,45.45,918347
2021-11-04,45.52,45.53,45.18,45.35,588317
2021-11-05,45.49,45.49,45.12,45.3,726902
2021-11-08,45.58,45.74,45.54,45.7,837763
2021-11-09,45.71,45.84,45.43,45.51,896504
2021-11-10,45.62,45.82,45.23,45.34,1173496
2021-11-11,45.93,46.23,45.92,46.13,1617919
2021-11-12,46.11,46.29,46.04,46.23,988329
2021-11-15,46.35,46.35,46.06,46.1,617741
2021-11-16,46.18,46.23,45.98,46.14,509067
2021-11-17,46.21,46.21,45.78,45.9,825293
2021-11-18,45.44,45.46,45.13,45.34,1126410
2021-11-19,45.41,45.54,45.25,45.28,1022396
2021-11-22,45.21,45.33,44.9,44.9,1131950
2021-11-23,44.92,45.08,44.67,44.86,1299330
2021-11-24,44.59,44.81,44.47,44.79,831057
2021-11-26,43.64,43.65,43.13,43.35,1440296
2021-11-29,43.75,43.76,43.33,43.48,1351178
2021-11-30,43.47,43.72,43.01,43.45,2543470
2021-12-01,44.11,44.43,43.56,43.57,1493431
2021-12-02,44.1,44.42,43.88,44.13,1892727
2021-12-03,44.02,44.14,43.32,43.5,1631301
2021-12-06,43.45,43.85,43.27,43.83,1178570
2021-12-07,44.38,44.55,44.35,44.53,1129189
2021-12-08,44.53,44.82,44.44,44.72,1006780
2021-12-09,44.58,44.72,44.44,44.5,832778
2021-12-10,44.49,44.58,44.37,44.54,1057298
2021-12-13,44.18,44.19,43.72,43.8,1265228
2021-12-14,43.57,43.84,43.54,43.72,1476755
2021-12-15,43.42,43.63,43,43.59,1733408
2021-12-16,43.95,44.1,43.57,43.65,1480109
2021-12-17,43.35,43.59,43.23,43.41,1655910
2021-12-20,42.81,42.82,42.52,42.78,1041596
2021-12-21,43.13,43.51,43.11,43.51,727546
2021-12-22,43.36,43.73,43.29,43.73,676617
2021-12-23,43.77,44.02,43.65,43.94,797759
2021-12-27,43.96,44.19,43.96,44.14,523352
2021-12-28,44.15,44.19,43.98,43.98,621961
2021-12-29,43.9,43.91,43.59,43.79,739750
2021-12-30,43.78,44.41,43.78,44.29,776754
2021-12-31,44.2,44.52,44.07,44.07,1083103
2022-01-03,44.28,44.44,44.02,44.4,651800
2022-01-04,44.39,44.44,44.15,44.23,698423
2022-01-05,44.04,44.35,43.52,43.52,1053910
2022-01-06,43.64,43.92,43.47,43.73,743598
2022-01-07,43.96,44.19,43.77,44.13,990678
2022-01-10,44.18,44.28,43.82,44.13,1295670
2022-01-11,44.48,45.15,44.36,45.15,1907634
2022-01-12,45.7,45.91,45.54,45.87,1675236
2022-01-13,45.7,45.71,45.2,45.21,876749
2022-01-14,45.07,45.29,44.96,45.21,819753
2022-01-18,44.44,44.65,44.35,44.41,1366119
2022-01-19,44.76,44.84,44.57,44.61,899771
2022-01-20,45.35,45.6,44.82,44.89,1667228
2022-01-21,44.77,44.83,44.17,44.2,2055390
2022-01-24,43.52,43.58,42.58,43.57,1961944
2022-01-25,43.33,43.74,43.06,43.51,1411358
2022-01-26,43.75,43.83,42.87,42.95,1469785
2022-01-27,42.95,43.01,42.45,42.45,1176860
2022-01-28,42.54,42.69,42.1,42.68,1631316
2022-01-31,43.2,44.12,43.18,44.06,2638010
2022-02-01,44.23,44.32,43.85,44.32,1400947
2022-02-02,44.53,44.53,43.98,44.27,1051143
2022-02-03,43.7,44.01,43.65,43.82,1263170
2022-02-04,43.6,44.11,43.52,43.92,1263800
2022-02-07,43.74,44.06,43.69,43.84,883484
2022-02-08,43.78,44.25,43.74,44.24,819124
2022-02-09,44.62,44.95,44.57,44.94,981343
2022-02-10,44.56,45.21,44.56,44.65,2274495
2022-02-11,44.65,44.84,43.89,43.98,2430180
2022-02-14,43.78,43.86,43.42,43.65,1194846
2022-02-15,44.24,44.64,44.21,44.6,1337420
2022-02-16,44.53,45.11,44.52,44.92,1404693
2022-02-17,44.71,44.8,44.31,44.41,1117822
2022-02-18,44.27,44.27,43.88,43.97,1544227
2022-02-22,43.33,43.64,43.05,43.35,2438801
2022-02-23,43.55,43.55,42.76,42.85,1300276
2022-02-24,40.63,41.98,40.61,41.98,3097388
2022-02-25,42.14,42.76,41.92,42.75,2227206
2022-02-28,41.71,42.27,41.66,42.2,2425355
2022-03-01,41.95,42.27,41.37,41.61,2306166
2022-03-02,41.68,41.86,41.24,41.67,1686147
2022-03-03,41.51,41.6,41.01,41.1,1728275
2022-03-04,40.31,40.51,40.04,40.28,2307106
2022-03-07,39.58,39.71,38.72,38.76,2860284
2022-03-08,38.93,39.37,38.56,38.93,2830297
2022-03-09,39.49,40.08,39.35,40,1862280
2022-03-10,39.36,39.42,38.99,39.25,2441116
2022-03-11,39.46,39.5,38.41,38.41,2709255
2022-03-14,37.96,38.23,37.37,37.48,3199632
2022-03-15,36.98,37.6,36.82,37.56,3600491
