date,open,high,low,close,volume
2020-07-27,181.875,182.77,181.565,182.23,129744
2020-07-28,181.93,184.235,181.45,183.89,133111
2020-07-29,184.035,186.07,182.48,185.095,156620
2020-07-30,183.415,184.25,182.19,183.76,62265
2020-07-31,184.52,185.74,184.2,185.49,61260
2020-08-03,185.1,185.805,184.21,185.705,55117
2020-08-04,185.42,189.59,185.34,189.545,115709
2020-08-05,191.735,193,190.65,191.39,106689
2020-08-06,193.75,194.39,192.56,193.9,117865
2020-08-07,192.715,192.89,189.445,190.76,128788
2020-08-10,191.22,192.58,189.69,190.19,144645
2020-08-11,183.54,183.97,179.44,179.955,460953
2020-08-12,182.695,183.03,179.08,179.19,220800
2020-08-13,181.54,184.67,181.49,183.3,59125
2020-08-14,183.465,183.7,181.65,182.545,55296
2020-08-17,184.69,187,184.69,186.515,70090
2020-08-18,189.05,189.31,185.71,188.27,105864
2020-08-19,187.13,187.17,181.72,182.25,282154
2020-08-20,181.26,183.68,180.95,183.51,87025
2020-08-21,182.15,182.7,180.475,182.05,66536
2020-08-24,182.675,182.735,180.705,180.995,29558
2020-08-25,181.005,181.21,179.805,181.19,60618
2020-08-26,180.25,183.55,180.225,183.35,67180
2020-08-27,184.64,184.655,179.41,181.17,71766
2020-08-28,184.02,185.355,183.43,184.37,93475
2020-08-31,184.745,185.45,184.48,184.85,45789
2020-09-01,186.96,186.96,184.34,185.025,48169
2020-09-02,183.36,183.42,181.58,182.61,85062
2020-09-03,182.245,182.74,180.54,181.15,83157
2020-09-04,181.09,182.005,180.06,181.675,47308
2020-09-08,179.48,182.23,179.03,181.295,93243
2020-09-09,182.54,183.22,182.3,182.985,66708
2020-09-10,184.26,184.62,182.315,182.46,59178
2020-09-11,183.33,183.535,182.07,182.405,35888
2020-09-14,183.59,184.29,183.44,183.9,89250
2020-09-15,184.445,184.63,182.99,183.47,84288
2020-09-16,184.99,184.99,183.43,183.9,65109
2020-09-17,181.82,183.05,181.595,182.985,32206
2020-09-18,182.88,184.07,182.695,183.18,25421
2020-09-21,179.84,180.265,177.05,179.46,143941
2020-09-22,179.695,179.935,178.12,178.625,40109
2020-09-23,176.98,177.22,174.24,174.78,169323
2020-09-24,174.33,176.18,173.9,175.43,80274
2020-09-25,174.505,175.28,173.975,174.985,37516
2020-09-28,175.895,176.805,175.2,176.635,35670
2020-09-29,177.38,178.305,176.99,178.225,71342
2020-09-30,177.71,178.58,176.72,177.13,103238
2020-10-01,178.685,179.48,178.165,178.735,47429
2020-10-02,178.66,179.19,178.27,178.51,66745
