date,open,high,low,close,volume
2020-07-27,60.67,60.8,60.58,60.8,296849
2020-07-28,60.76,60.78,60.58,60.62,353542
2020-07-29,60.79,61.01,60.77,60.97,434112
2020-07-30,60.77,61.12,60.76,61.09,1363836
2020-07-31,61.07,61.22,60.86,61.21,690263
2020-08-03,61.25,61.25,61.07,61.23,417244
2020-08-04,61.13,61.22,61.04,61.21,401593
2020-08-05,61.19,61.34,61.18,61.29,350215
2020-08-06,61.31,61.46,61.27,61.45,245267
2020-08-07,61.42,61.42,61.22,61.31,325957
2020-08-10,61.37,61.38,61.21,61.33,349250
2020-08-11,61.33,61.36,60.75,60.77,373563
2020-08-12,61.07,61.19,60.8,60.8,324437
2020-08-13,60.81,61.04,60.57,60.62,548629
2020-08-14,60.61,60.66,60.4,60.51,384230
2020-08-17,60.58,60.9,60.57,60.87,276860
2020-08-18,60.9,61.01,60.76,60.97,282306
2020-08-19,60.94,61.02,60.74,60.8,341493
2020-08-20,60.69,60.99,60.69,60.99,610558
2020-08-21,60.99,61.04,60.91,60.98,627549
2020-08-24,61.13,61.3,61.1,61.27,293038
2020-08-25,61.27,61.37,61.11,61.33,332293
2020-08-26,61.35,61.44,61.3,61.32,402934
2020-08-27,61.39,61.42,61.11,61.23,365228
2020-08-28,61.29,61.37,61.25,61.26,249182
2020-08-31,61.27,61.32,61.16,61.21,444127
2020-09-01,61.24,61.59,61.17,61.55,502583
2020-09-02,61.57,61.7,61.38,61.61,466527
2020-09-03,61.47,61.49,60.98,61.25,612603
2020-09-04,61.27,61.37,60.68,61.08,572286
2020-09-08,60.79,60.98,60.64,60.7,588320
2020-09-09,60.95,61.23,60.89,61.16,606174
2020-09-10,61.26,61.3,60.88,60.9,637869
2020-09-11,60.96,61.05,60.77,61.03,382129
2020-09-14,61.13,61.2,60.9,60.97,928323
2020-09-15,61.13,61.22,61.02,61.12,406753
2020-09-16,61.15,61.4,61.07,61.11,834643
2020-09-17,60.93,61.17,60.88,61.08,632734
2020-09-18,61.16,61.17,60.88,60.92,701940
2020-09-21,60.68,60.71,60.25,60.42,1073694
2020-09-22,60.46,60.66,60.36,60.62,726786
2020-09-23,60.64,60.65,59.95,60.02,861458
2020-09-24,59.89,60.22,59.69,60.06,969086
2020-09-25,59.93,60.09,59.81,59.94,762840
2020-09-28,60.23,60.42,60.13,60.33,619836
2020-09-29,60.37,60.42,60.19,60.37,399938
2020-09-30,60.41,60.72,60.41,60.63,690109
2020-10-01,60.8,60.88,60.74,60.82,608254
2020-10-02,60.57,60.86,60.57,60.82,521079
2020-10-05,60.94,61.3,60.9,61.28,426064
2020-10-06,61.31,61.5,61.12,61.15,852808
2020-10-07,61.34,61.42,61.3,61.37,536604
2020-10-08,61.51,61.53,61.43,61.51,481672
2020-10-09,61.6,61.7,61.51,61.64,622099
2020-10-12,61.82,62.03,61.78,61.95,225646
2020-10-13,61.83,61.87,61.63,61.68,500183
2020-10-14,61.61,61.7,61.48,61.54,496982
2020-10-15,61.25,61.52,61.19,61.49,494394
2020-10-16,61.56,61.64,61.34,61.41,669244
2020-10-19,61.51,61.58,61.18,61.2,400786
2020-10-20,61.36,61.51,61.31,61.4,528248
2020-10-21,61.42,61.54,61.35,61.39,404885
2020-10-22,61.44,61.56,61.29,61.49,319334
2020-10-23,61.61,61.63,61.44,61.58,297312
2020-10-26,61.39,61.4,61.02,61.07,949551
2020-10-27,61.07,61.2,61.05,61.08,475217
2020-10-28,60.67,60.75,60.47,60.57,1390577
2020-10-29,60.51,60.76,60.43,60.74,1023631
2020-10-30,60.73,60.9,60.55,60.88,890482
2020-11-02,61.01,61.11,60.86,61.01,812668
2020-11-03,61.15,61.53,61.15,61.51,834019
2020-11-04,61.72,62.25,61.72,62.11,2025619
2020-11-05,62.44,62.58,62.25,62.34,1567190
2020-11-06,62.36,62.37,62.03,62.15,1827406
2020-11-09,63.28,63.31,62.57,62.57,1527050
2020-11-10,62.54,62.72,61.76,62.51,967399
2020-11-11,62.58,62.58,62.41,62.48,382222
2020-11-12,62.42,62.42,62.07,62.07,789971
2020-11-13,62.16,62.33,62.14,62.29,656872
2020-11-16,62.6,62.65,62.46,62.61,711232
2020-11-17,62.53,62.75,62.47,62.64,665016
2020-11-18,62.72,62.78,62.51,62.52,380456
2020-11-19,62.46,62.77,62.43,62.73,482881
2020-11-20,62.67,62.69,62.57,62.62,834859
