date,open,high,low,close,volume
2020-07-27,104.32,104.32,104.06,104.07,58588
2020-07-28,104.2,104.35,104.18,104.33,53889
2020-07-29,104.34,104.46,104.22,104.46,48632
2020-07-30,104.61,104.62,104.53,104.61,717156
2020-07-31,104.52,104.71,104.47,104.65,54106
2020-08-03,104.48,104.59,104.44,104.58,48212
2020-08-04,104.74,104.93,104.72,104.93,46332
2020-08-05,104.7,104.7,104.57,104.61,48417
2020-08-06,104.79,104.94,104.67,104.7,90666
2020-08-07,104.8,104.8,104.46,104.49,41368
2020-08-10,104.6,104.64,104.38,104.38,55390
2020-08-11,103.96,104.07,103.78,104.02,284718
2020-08-12,103.74,103.83,103.59,103.71,93242
2020-08-13,103.68,103.78,103.4,103.49,135046
2020-08-14,103.6,103.68,103.55,103.56,42068
2020-08-17,103.74,103.88,103.71,103.75,31948
2020-08-18,103.83,103.97,103.77,103.9,27057
2020-08-19,103.98,104.01,103.75,103.78,65451
2020-08-20,104.08,104.09,104.01,104.04,39837
2020-08-21,104.11,104.16,103.98,104.11,48983
2020-08-24,104.18,104.2,103.98,103.99,34062
2020-08-25,103.68,103.8,103.54,103.74,109495
2020-08-26,103.7,103.75,103.51,103.71,58678
2020-08-27,103.91,103.91,103.34,103.34,107878
2020-08-28,103.58,103.63,103.43,103.51,42081
2020-08-31,103.52,103.78,103.51,103.63,43817
2020-09-01,103.62,103.95,103.54,103.93,89604
2020-09-02,103.87,104.12,103.87,104.09,57207
2020-09-03,104.19,104.42,104.14,104.23,44783
2020-09-04,103.98,104.04,103.62,103.67,102502
2020-09-08,103.93,104.04,103.86,103.88,72213
2020-09-09,103.96,103.96,103.73,103.84,62394
2020-09-10,103.71,103.97,103.64,103.95,53716
2020-09-11,104.02,104.09,103.98,104.08,181401
2020-09-14,104.15,104.19,103.98,104.02,35209
2020-09-15,103.97,104.02,103.91,103.98,92860
2020-09-16,104.05,104.11,103.82,103.92,85017
2020-09-17,104.13,104.14,103.92,103.95,53869
2020-09-18,103.99,104,103.86,103.86,65364
2020-09-21,104.14,104.23,104.02,104.04,69316
2020-09-22,104.12,104.14,104.03,104.05,37043
2020-09-23,104.04,104.06,103.92,104.04,82700
