date,open,high,low,close,volume
2020-07-27,61.86,62.86,61.51,62.82,32250
2020-07-28,62.74,64.31,62.66,64.04,112700
2020-07-29,64.72,65.25,64.3,65.25,142021
2020-07-30,64.44,64.91,64.04,64.83,134638
2020-07-31,64.76,64.76,63.78,64.75,141971
2020-08-03,64.47,64.47,63.56,63.9,69737
2020-08-04,63.81,64.98,63.81,64.8,91438
2020-08-05,65.19,65.19,64.27,64.57,70843
2020-08-06,64.43,64.8,64.26,64.63,130587
2020-08-07,64.67,65.57,64.67,65.46,66833
2020-08-10,65.82,66.03,65.38,65.64,56208
2020-08-11,66.25,66.36,64.47,64.69,48487
2020-08-12,65.29,65.43,64.97,65.38,14889
2020-08-13,65.15,65.67,64.42,64.53,26607
2020-08-14,64.4,65.15,64.31,64.55,21617
2020-08-17,64.34,65.1,64.34,65.08,20274
2020-08-18,65.06,65.06,64.41,64.76,27470
2020-08-19,64.97,64.97,63.54,63.58,55145
2020-08-20,63.54,64.64,63.54,64.26,68459
2020-08-21,64.3,64.41,63.61,64.34,21675
2020-08-24,64.38,64.76,63.73,64.76,14575
2020-08-25,64.91,65.03,64.37,64.89,37504
2020-08-26,64.51,64.6,63.95,64.31,16098
2020-08-27,64.55,65.46,64.55,65.31,54089
2020-08-28,65.07,65.68,64.73,65.68,48034
2020-08-31,65.54,65.56,64.81,65.08,108509
2020-09-01,64.39,65.11,64.39,65.02,31849
2020-09-02,64.8,66.39,64.63,66.37,27314
2020-09-03,66.75,66.79,65.04,65.52,41088
2020-09-04,65.68,66.11,64.13,65.15,44240
2020-09-08,64.87,64.88,63.93,64.32,35953
2020-09-09,64.69,65.75,64.66,64.99,37733
2020-09-10,64.38,64.98,64.15,64.18,44889
2020-09-11,64.37,64.37,63.28,63.83,47310
2020-09-14,64.25,65.59,64.24,65.46,44721
2020-09-15,65.67,66.79,65.67,66.23,50262
2020-09-16,66.53,67.18,66.48,66.53,41196
2020-09-17,65.8,66.2,64.84,65.22,25227
2020-09-18,65.01,65.09,63.67,63.79,37773
2020-09-21,62.97,62.97,61.56,61.83,71459
2020-09-22,62.13,63.07,62.13,62.53,235607
2020-09-23,62.26,62.55,60.64,60.71,90357
2020-09-24,60.79,61.9,60.58,61.02,125780
2020-09-25,60.79,62.28,60.79,62.28,25154
2020-09-28,63.5,63.86,63.14,63.53,53559
2020-09-29,63.29,63.53,62.67,63.11,48195
2020-09-30,63.59,64.01,62.71,63.35,54313
2020-10-01,63.55,64.61,63.32,64.61,46732
2020-10-02,63.57,65.84,63.57,65.73,39480
2020-10-05,66.16,66.16,64.87,66.02,43590
2020-10-06,66.24,66.59,65.39,65.6,61859
2020-10-07,65.99,66.03,65.44,65.72,41482
2020-10-08,66.03,67,66,66.82,61138
2020-10-09,67.24,67.24,66.34,66.57,49130
2020-10-12,66.68,67.04,66.25,66.88,30187
2020-10-13,66.45,66.45,65.39,65.73,38432
2020-10-14,65.7,65.74,64.84,64.91,41127
2020-10-15,64.51,65.76,64.47,65.25,24994
2020-10-16,65.08,65.23,64.71,64.79,68595
2020-10-19,65.08,65.08,63.69,63.77,102649
2020-10-20,64.2,64.66,64.14,64.26,20437
2020-10-21,64.09,64.31,63.8,64.08,40689
2020-10-22,64.07,64.3,63.79,64.04,54363
2020-10-23,64.28,64.6,63.9,64.4,38873
2020-10-26,63.88,63.88,62.97,63.49,53388
2020-10-27,63.58,63.91,62.55,62.56,39853
2020-10-28,61.34,61.97,60.77,60.97,57643
2020-10-29,60.93,62.24,60.52,61.9,135047
2020-10-30,61.45,61.89,60.67,61.39,53806
2020-11-02,62.06,62.87,61.71,62.81,108162
2020-11-03,63.75,64.41,63.33,64.14,112312
2020-11-04,64.01,65.15,63.83,64.2,32769
2020-11-05,64.77,65.07,64.25,64.52,67705
2020-11-06,64.49,64.99,63.83,64.02,100437
2020-11-09,68.02,70.66,66.2,66.26,68437
2020-11-10,66.42,67.34,66.29,67.29,52793
2020-11-11,67.46,67.84,67.01,67.53,21940
2020-11-12,67.25,67.4,66.26,66.69,21051
2020-11-13,67.07,68.59,67.07,68.51,32402
2020-11-16,69.88,69.88,68.45,69.18,18862
2020-11-17,68.45,69.54,68.25,69.27,62211
2020-11-18,69.33,69.81,67.91,67.91,89427
2020-11-19,67.14,68.26,67.14,68.14,64434
2020-11-20,68.14,68.22,67.62,67.84,55105
2020-11-23,68.12,68.74,67.85,67.95,78916
2020-11-24,68.77,69.28,68.24,68.31,47304
2020-11-25,68.25,68.41,67.81,68.37,33903
2020-11-27,68.24,68.24,67.8,68.07,15060
2020-11-30,67.89,67.89,67.19,67.31,53521
2020-12-01,68.06,68.42,67.94,68.22,37653
2020-12-02,67.99,68.35,67.62,67.66,40739
2020-12-03,67.89,68.55,67.84,68.22,22630
2020-12-04,68.76,69.28,68.76,69.25,23898
2020-12-07,69.12,69.25,68.44,68.71,17768
2020-12-08,68.49,68.76,68.36,68.46,13497
2020-12-09,68.55,68.63,67.59,68.05,54415
2020-12-10,67.65,68.1,67.49,67.74,34903
2020-12-11,67.42,67.7,67.01,67.64,28323
2020-12-14,68.49,68.66,67.33,67.41,38508
2020-12-15,67.72,68.75,67.23,68.73,45017
2020-12-16,68.94,69.31,68.48,68.84,49710
2020-12-17,69.28,69.54,68.99,69.48,78080
2020-12-18,69.39,69.42,67.68,68.16,40103
2020-12-21,67.07,67.7,66.87,67.66,39869
2020-12-22,67.6,68.24,67.49,68.2,16607
2020-12-23,68.55,68.83,67.68,67.78,48722
2020-12-24,68.1,68.34,67.84,68.32,24141
2020-12-28,68.55,68.83,68.34,68.79,52929
2020-12-29,69.03,69.34,68.08,68.17,101731
2020-12-30,68.48,69.05,68.2,68.47,93096
2020-12-31,68.26,69.27,68.02,69.21,104659
2021-01-04,69.38,69.38,66.87,66.87,34698
2021-01-05,66.94,67.47,66.92,66.92,63268
2021-01-06,67.11,67.54,66.61,67.14,79985
2021-01-07,67.21,67.21,66.61,67.01,68013
2021-01-08,67.33,67.91,67.24,67.68,35363
2021-01-11,67.33,67.42,66.55,66.77,124415
2021-01-12,66.56,66.98,66.19,66.92,51768
2021-01-13,67.47,67.87,67.19,67.76,70913
