date,open,high,low,close,volume
2020-07-27,27.52,27.82,27.43,27.72,87800
2020-07-28,27.57,27.6,27.1,27.14,127252
2020-07-29,27.25,27.41,27.18,27.34,126048
2020-07-30,26.86,26.99,26.59,26.81,233092
2020-07-31,26.88,26.88,26.5,26.86,164334
2020-08-03,26.95,26.96,26.69,26.7,120778
2020-08-04,26.61,27.13,26.53,27.05,165180
2020-08-05,27.3,27.74,27.3,27.47,117042
2020-08-06,27.31,27.5,27.24,27.34,133936
2020-08-07,27.1,27.44,27.09,27.41,98772
2020-08-10,27.48,27.7,27.46,27.7,67748
2020-08-11,27.93,28.09,27.61,27.65,105966
2020-08-12,28.01,28.01,27.76,27.84,45388
2020-08-13,27.73,27.92,27.72,27.81,90488
2020-08-14,27.71,27.95,27.66,27.85,32922
2020-08-17,28.1,28.11,27.86,27.96,60596
2020-08-18,28.08,28.09,27.84,27.87,104796
2020-08-19,27.92,28.02,27.7,27.78,74862
2020-08-20,27.55,27.7,27.54,27.67,57410
2020-08-21,27.47,27.56,27.37,27.53,135596
2020-08-24,27.81,28.01,27.79,27.97,155704
2020-08-25,28.08,28.17,27.78,27.91,81536
2020-08-26,27.86,28.24,27.81,28.16,122648
2020-08-27,28.28,28.29,28.04,28.11,77466
2020-08-28,28.2,28.47,28.14,28.45,155138
2020-08-31,28.35,28.37,28.03,28.06,149416
2020-09-01,27.91,28.8,27.9,28.8,269194
2020-09-02,28.83,29.49,28.74,29.46,283848
2020-09-03,29.34,29.39,28.34,28.65,353238
2020-09-04,28.88,28.95,28.25,28.69,319724
2020-09-08,28.31,28.39,27.92,28.11,341692
2020-09-09,28.48,29.02,28.47,28.83,329362
2020-09-10,28.97,29.09,28.53,28.6,220534
2020-09-11,28.83,29.07,28.67,28.94,177318
2020-09-14,29.17,29.43,29.06,29.37,234350
2020-09-15,29.61,29.68,29.49,29.5,148764
2020-09-16,29.53,29.85,29.44,29.52,148960
2020-09-17,29.17,29.78,29.08,29.73,186552
2020-09-18,29.68,29.76,29.2,29.23,361074
2020-09-21,28.55,28.66,27.93,28.22,176658
2020-09-22,28.27,28.36,28.07,28.29,113746
2020-09-23,28.17,28.26,27.44,27.46,116638
2020-09-24,27.41,27.93,27.23,27.66,275550
2020-09-25,27.36,27.99,27.36,27.9,132772
2020-09-28,28.35,28.59,28.21,28.32,146712
2020-09-29,28.38,28.45,28.07,28.13,113794
2020-09-30,28.25,28.66,28.23,28.44,204164
2020-10-01,28.66,28.7,27.94,28.04,241680
2020-10-02,27.65,28.49,27.65,28.27,308904
2020-10-05,28.52,29.01,28.52,28.81,230360
2020-10-06,28.98,29.2,28.41,28.44,285558
2020-10-07,28.97,29.25,28.9,29.19,92248
2020-10-08,29.46,29.59,29.34,29.49,137188
2020-10-09,29.79,29.83,29.54,29.73,90816
2020-10-12,29.86,29.92,29.65,29.66,101470
2020-10-13,29.45,29.58,29.3,29.4,120832
2020-10-14,29.44,29.67,29.4,29.5,68306
2020-10-15,29.06,29.43,29.05,29.42,90874
2020-10-16,29.63,29.74,29.5,29.61,80200
2020-10-19,29.7,29.8,29.19,29.26,87880
2020-10-20,29.42,29.64,29.25,29.34,99324
2020-10-21,29.37,29.66,29.24,29.25,49014
2020-10-22,29.22,29.41,28.92,29.36,70136
