date,open,high,low,close,volume
2020-07-27,65.57,66.03,65.3,65.95,106725
2020-07-28,65.76,66.03,65.44,65.54,126348
2020-07-29,66,66.62,65.81,66.48,159666
2020-07-30,66.08,66.1,65.35,65.84,181205
2020-07-31,65.51,65.7,64.47,65.6,349460
2020-08-03,65.68,66.06,65.25,65.85,157465
2020-08-04,65.64,66.04,65.64,65.98,76055
2020-08-05,66.38,67.36,66.38,67.3,150928
2020-08-06,67.16,67.53,67.16,67.53,54263
2020-08-07,67.43,68.7,67.43,68.67,486233
2020-08-10,68.94,70.43,68.94,70.39,167505
2020-08-11,71.35,71.9,70.6,70.75,392011
2020-08-12,71.38,71.48,70.7,71.01,291281
2020-08-13,70.44,71.06,70.34,70.56,340448
2020-08-14,70.24,71.23,70.14,70.86,94998
2020-08-17,70.97,71.13,70.41,70.54,95734
2020-08-18,70.52,70.68,70.07,70.14,137030
2020-08-19,70.25,70.6,69.84,69.96,90523
2020-08-20,69.38,69.76,69.23,69.64,132321
2020-08-21,69.54,70.06,69.54,69.88,114744
2020-08-24,70.25,71.12,70.11,71.12,132089
2020-08-25,71.58,71.6,70.69,71.06,205591
2020-08-26,70.81,71.34,70.59,71.08,134797
2020-08-27,71.42,71.92,71.12,71.37,208039
2020-08-28,71.56,72.05,71.26,72.04,291941
2020-08-31,71.88,71.91,71.14,71.25,177887
2020-09-01,70.8,71.91,70.66,71.89,368547
2020-09-02,72.04,73.24,71.93,73.1,202644
2020-09-03,73.23,73.35,70.55,71.05,226391
2020-09-04,71.88,72.08,70.25,71.19,185953
2020-09-08,70.61,70.75,69.64,69.8,380370
2020-09-09,70.4,71.48,70.33,70.89,193632
2020-09-10,71.15,71.3,69.79,70.04,272911
2020-09-11,70.26,71.29,70.26,70.98,219269
2020-09-14,71.6,72.11,71.29,71.94,154633
2020-09-15,72.13,72.34,71.83,71.98,163505
2020-09-16,72.47,73.41,72.12,72.65,302220
2020-09-17,71.66,73.26,71.32,72.83,283654
2020-09-18,72.81,73.32,71.97,72.04,274300
2020-09-21,70.66,70.87,68.94,69.59,257539
2020-09-22,69.6,70.44,69.6,70.31,222496
2020-09-23,70.48,71.19,68.99,69.08,271493
2020-09-24,68.9,69.93,68.23,69.14,202899
2020-09-25,68.87,70.43,68.83,70.21,97664
2020-09-28,71.39,72.01,71.15,71.46,130979
2020-09-29,71.32,71.63,70.64,70.82,136917
2020-09-30,71.21,71.92,70.13,70.7,335452
2020-10-01,71.18,71.45,69.96,70.43,291313
2020-10-02,69.26,71.62,69.26,71.22,289599
2020-10-05,71.88,72.51,71.88,72.35,222981
2020-10-06,72.65,73.15,71.43,71.55,284658
2020-10-07,72.32,73.28,72.32,73.07,185938
2020-10-08,73.42,73.79,72.92,73.77,223979
2020-10-09,74.3,74.57,73.86,74.07,269173
2020-10-12,74.42,74.75,74.22,74.49,115997
2020-10-13,74.05,74.38,73.47,73.69,131472
2020-10-14,74.07,74.61,73.97,74.11,182904
2020-10-15,73.22,74.38,73.19,74.35,183656
2020-10-16,74.7,75.34,74.7,74.87,214150
2020-10-19,74.99,75.35,73.68,73.94,177896
2020-10-20,74.41,75.28,74.18,74.34,182086
2020-10-21,74.11,74.68,73.61,73.62,253353
2020-10-22,73.76,74.32,73.55,74.19,157103
2020-10-23,74.58,74.77,73.94,74.47,130478
2020-10-26,73.53,73.59,71.85,72.63,189195
2020-10-27,72.4,72.48,71.04,71.06,153968
2020-10-28,69.59,70.36,68.65,68.65,237136
2020-10-29,68.66,70.27,68.53,69.69,176604
2020-10-30,69.32,69.88,68.64,69.62,271224
2020-11-02,70.67,71.64,70.19,71.48,180797
2020-11-03,72.57,74.03,72.34,73.61,689693
2020-11-04,73.32,74.49,72.39,72.85,188785
2020-11-05,73.93,75.06,73.93,74.62,135846
2020-11-06,74.51,74.98,74.14,74.61,151430
2020-11-09,79.62,80.62,77.14,77.18,185069
2020-11-10,77.51,78.86,77.21,78.5,152917
2020-11-11,79.02,79.02,77.5,77.86,163095
2020-11-12,77.34,77.79,76.49,76.99,171734
2020-11-13,77.64,78.79,77.64,78.71,113888
2020-11-16,80.09,80.75,79.34,80.61,245464
2020-11-17,79.94,80.65,79.22,80.41,104944
2020-11-18,80.93,81.37,80.07,80.07,356370
2020-11-19,79.84,80.32,79.35,80.31,121354
2020-11-20,80.09,80.36,79.37,79.54,90037
2020-11-23,80.31,81.01,80.31,80.81,125453
2020-11-24,82.03,82.71,81.7,82.29,183801
2020-11-25,82.02,82.02,81.27,81.65,125123
2020-11-27,81.8,82.03,81.27,81.5,80114
2020-11-30,81.26,81.4,80.35,80.79,170309
2020-12-01,81.7,82.05,80.57,80.6,209441
2020-12-02,80.33,80.88,80.21,80.68,162170
2020-12-03,80.79,81.64,80.75,80.89,179059
2020-12-04,81.37,82,81.35,81.86,138101
2020-12-07,81.87,81.87,81.24,81.48,132059
2020-12-08,81.36,82.01,81.36,81.84,70417
2020-12-09,81.99,82.31,81.48,82.09,173178
2020-12-10,81.4,81.87,80.92,81.3,215391
2020-12-11,80.84,81.62,80.77,81.45,113873
2020-12-14,82.21,82.27,80.46,80.49,81061
2020-12-15,81.01,81.84,80.52,81.53,131771
2020-12-16,81.61,81.65,80.87,81.02,94974
2020-12-17,81.38,81.61,81.07,81.49,171772
2020-12-18,81.43,81.73,80.89,81.59,306795
2020-12-21,80.04,81.39,79.65,81.08,127507
2020-12-22,81.05,81.07,80.4,80.63,130973
2020-12-23,81.18,81.51,80.98,81.05,69785
2020-12-24,81.16,81.21,80.63,81.09,77902
2020-12-28,81.6,81.83,81.11,81.18,34702
2020-12-29,81.58,81.7,80.17,80.64,73163
2020-12-30,80.91,81.42,80.91,81.17,86651
2020-12-31,81.13,81.74,80.79,81.65,116988
2021-01-04,81.64,81.65,79.19,79.59,225105
2021-01-05,79.56,80.7,79.56,80.4,275413
2021-01-06,80.7,83,80.7,82.35,194578
2021-01-07,82.75,83.09,82.11,82.78,101045
2021-01-08,83.01,83.17,81.75,82.56,114554
2021-01-11,81.7,82.78,81.66,82.51,206437
2021-01-12,82.62,83.55,82.08,83.41,106792
2021-01-13,83.24,83.29,82.53,82.68,142342
2021-01-14,83.06,83.53,82.79,82.94,173839
2021-01-15,82.23,82.23,81.17,81.85,250821
2021-01-19,82.68,82.78,82.1,82.12,103854
2021-01-20,82.29,82.82,82.13,82.66,177337
2021-01-21,82.37,82.64,81.87,81.99,236934
2021-01-22,81.41,81.89,80.92,81.62,137234
2021-01-25,81.16,81.4,80.24,81.03,201374
2021-01-26,81.69,81.78,80.22,80.26,129519
2021-01-27,79.12,79.37,78.07,78.63,289234
2021-01-28,79.43,80.78,79.36,79.85,275391
2021-01-29,79.3,79.68,77.89,78.16,182052
2021-02-01,78.91,79.14,78.27,79,124071
2021-02-02,79.83,80.95,79.8,80.62,153886
2021-02-03,80.45,80.8,80,80.67,166438
2021-02-04,80.91,81.65,80.86,81.54,159925
2021-02-05,82.31,82.36,81.79,81.98,164667
2021-02-08,82.33,82.7,82.16,82.7,100819
2021-02-09,82.42,83.19,82.07,82.9,192399
2021-02-10,83.25,83.29,82.45,82.74,166325
2021-02-11,82.94,83.11,81.79,82.65,204190
2021-02-12,82.36,83.27,82.35,83.24,145390
2021-02-16,83.49,83.73,82.96,83.18,108241
2021-02-17,82.77,82.96,82.25,82.9,93529
2021-02-18,82.38,82.67,81.86,82.48,75231
2021-02-19,83.08,84.06,83.04,83.85,264677
2021-02-22,83.44,84.72,83.35,84.08,206631
2021-02-23,84.3,84.57,83.3,84.38,255633
2021-02-24,84.34,86.28,84.19,85.99,400429
2021-02-25,85.91,86.05,84.03,84.4,279217
2021-02-26,84.38,84.74,83.3,83.5,291491
2021-03-01,84.76,86.27,84.76,85.63,187188
2021-03-02,85.64,85.82,85.03,85.39,204207
2021-03-03,85.43,86.47,85.38,85.46,170248
2021-03-04,85.61,85.85,82.82,84.02,358091
2021-03-05,84.89,86.38,83.19,86.12,204051
2021-03-08,86.7,88.35,86.47,86.98,160913
2021-03-09,87.29,87.9,86.67,86.67,261264
2021-03-10,86.88,88.38,86.78,87.95,198332
2021-03-11,88.1,88.73,87.53,88.03,169332
2021-03-12,88.28,89.24,88.26,89.17,178802
2021-03-15,89.51,89.94,88.66,89.92,267108
2021-03-16,89.75,89.77,88.55,88.65,189405
2021-03-17,88.75,89.85,88.61,89.65,129370
2021-03-18,89.62,90.78,89.41,89.59,299799
2021-03-19,89.55,89.58,88.4,88.94,387454
2021-03-22,89.09,89.22,88.27,88.84,222870
2021-03-23,88.21,89.05,86.99,87.28,235446
2021-03-24,88.06,89.29,87.93,87.93,161988
2021-03-25,87.54,89.48,86.87,89.32,188008
2021-03-26,89.84,90.92,89.5,90.9,204118
