date,open,high,low,close,volume
2020-07-27,50.59,51.08,50.47,51.05,173016
2020-07-28,50.92,51.03,50.4,50.46,149408
2020-07-29,50.65,51.29,50.65,51.17,169016
2020-07-30,50.69,51.48,50.43,51.42,236594
2020-07-31,52.26,52.74,51.44,52.72,185074
2020-08-03,53.46,54.2,53.44,54.05,296932
2020-08-04,53.91,54.13,53.73,54.12,162600
2020-08-05,54.24,54.46,54.12,54.34,115128
2020-08-06,54.33,55.18,54.21,55.15,133498
2020-08-07,54.87,54.91,53.91,54.27,150174
2020-08-10,54.42,54.5,53.48,54.15,172280
2020-08-11,53.96,54.21,53.08,53.2,219888
2020-08-12,53.62,54.52,53.55,54.4,155650
2020-08-13,54.46,54.86,54.24,54.41,77938
2020-08-14,54.41,54.5,54.08,54.36,60316
2020-08-17,54.7,54.86,54.65,54.76,95436
2020-08-18,54.96,55.07,54.54,54.94,56864
2020-08-19,55.14,55.32,54.8,54.87,95864
2020-08-20,54.68,55.72,54.65,55.62,165166
2020-08-21,55.65,56.38,55.64,56.34,144616
2020-08-24,57.13,57.14,56.34,56.78,98214
2020-08-25,56.78,57.11,56.62,57.1,167844
2020-08-26,57.67,58.4,57.57,58.25,162758
2020-08-27,58.48,58.76,57.78,58.32,121504
2020-08-28,58.61,59,58.48,58.84,152256
2020-08-31,59.01,59.38,58.71,59.06,219944
2020-09-01,59.51,60.19,59.19,60.18,197566
2020-09-02,60.93,60.93,59.61,60.75,378728
2020-09-03,59.69,59.7,56.75,57.21,405076
2020-09-04,56.89,57.67,54.01,56.42,348520
2020-09-08,54.16,55.51,53.8,53.8,507274
2020-09-09,55.18,56.15,54.59,55.59,249744
2020-09-10,56.34,56.45,54.05,54.38,156942
2020-09-11,54.87,55.04,53.27,53.97,303900
2020-09-14,54.84,55.34,54.58,55.07,193056
2020-09-15,55.94,56,55.25,55.63,258964
2020-09-16,55.83,55.91,54.71,54.74,129614
2020-09-17,53.46,54.65,53.41,54.31,283544
2020-09-18,54.46,54.46,52.72,53.38,320970
2020-09-21,52.4,53.81,52.22,53.81,349174
2020-09-22,54.39,54.8,53.53,54.68,322634
2020-09-23,54.66,54.72,52.8,52.93,167570
2020-09-24,52.43,53.92,52.43,53.25,143932
2020-09-25,53.27,54.69,52.98,54.52,162542
2020-09-28,55.38,55.55,54.98,55.55,188094
2020-09-29,55.43,55.72,55.27,55.4,214886
2020-09-30,55.44,56.42,55.37,55.88,246936
2020-10-01,56.57,56.68,56.08,56.46,198808
2020-10-02,55.22,55.92,54.79,54.98,338558
2020-10-05,55.38,56.23,55.38,56.2,126768
2020-10-06,56.12,56.6,55.16,55.32,199452
2020-10-07,55.96,56.45,55.92,56.38,94790
2020-10-08,56.83,56.83,56.48,56.62,108268
2020-10-09,56.93,57.52,56.92,57.51,198146
2020-10-12,58.33,59.46,58.1,59.12,140964
2020-10-13,59.23,59.36,58.49,58.7,118606
2020-10-14,58.85,59.14,58.01,58.38,154688
2020-10-15,57.29,58.24,57.29,58.12,98060
2020-10-16,58.42,58.66,57.94,57.97,76984
2020-10-19,58.26,58.47,56.75,56.87,194952
2020-10-20,57.13,57.69,56.78,57.19,121014
