date,open,high,low,close,volume
2020-07-27,52.93,53.31,52.9,53.27,79707
2020-07-28,53.28,53.75,53.28,53.48,142217
2020-07-29,53.48,53.74,53.38,53.57,176514
2020-07-30,53.38,53.77,53.21,53.56,143719
2020-07-31,53.28,53.53,52.86,53.53,223305
2020-08-03,53.51,53.56,53.12,53.38,155008
2020-08-04,53.33,54.05,53.24,54.01,207763
2020-08-05,54.16,54.22,53.8,53.95,111617
2020-08-06,53.74,54.02,53.73,53.93,93090
2020-08-07,53.88,54.26,53.84,54.2,141352
2020-08-10,54.28,54.61,54.18,54.52,58621
2020-08-11,54.75,54.88,54,54.12,77382
2020-08-12,54.46,55.05,54.39,54.86,80437
2020-08-13,54.7,54.94,54.64,54.78,65082
2020-08-14,54.7,54.93,54.58,54.78,53015
2020-08-17,54.82,55.25,54.82,55.09,117772
2020-08-18,55.19,55.45,54.92,55.28,97421
2020-08-19,55.21,55.29,54.77,54.87,111221
2020-08-20,54.53,54.81,54.48,54.74,241234
2020-08-21,54.7,54.96,54.52,54.88,100604
2020-08-24,55.03,55.32,54.82,55.32,122350
2020-08-25,55.5,55.5,55.02,55.25,84502
2020-08-26,55.04,55.38,54.88,55.3,77515
2020-08-27,55.64,55.9,55.55,55.66,121835
2020-08-28,55.87,56.18,55.39,56.16,172088
2020-08-31,55.95,56.15,55.76,56.05,65141
2020-09-01,55.81,56.07,55.6,56.01,147532
2020-09-02,56.26,57.29,56.23,57.1,308392
2020-09-03,57.18,57.71,55.67,56.12,737955
2020-09-04,56.24,56.46,55.28,55.96,218115
2020-09-08,55.84,55.85,54.55,54.76,306385
2020-09-09,55.05,56.1,55.05,55.58,184931
2020-09-10,55.51,55.71,54.77,54.9,168516
2020-09-11,55.11,55.46,54.8,55.23,213817
2020-09-14,55.41,55.79,55.31,55.59,168754
2020-09-15,55.73,55.87,55.4,55.51,88419
2020-09-16,55.73,55.85,55.18,55.2,104186
2020-09-17,54.77,55.16,54.52,54.86,213775
2020-09-18,54.94,55.04,54,54.35,137423
2020-09-21,54.08,54.14,53.34,53.96,160049
2020-09-22,53.95,54.54,53.95,54.28,172424
2020-09-23,54.51,54.57,53.41,53.44,133670
2020-09-24,53.45,54.13,53.11,53.85,143171
2020-09-25,53.69,54.19,53.47,54.15,185300
2020-09-28,54.59,55.06,54.57,54.69,148288
2020-09-29,54.79,54.88,54.3,54.42,214165
2020-09-30,54.61,55.39,54.6,55.11,225521
2020-10-01,55.23,55.48,54.91,55.37,119392
2020-10-02,54.94,55.29,54.64,55.06,159377
2020-10-05,55.18,55.48,55.09,55.42,98344
2020-10-06,55.51,55.75,54.9,55.05,112222
2020-10-07,55.41,55.87,55.28,55.67,110522
2020-10-08,55.76,56.07,55.71,56.03,149041
2020-10-09,56.24,56.7,56.24,56.47,210252
2020-10-12,56.69,57.4,56.69,57.1,188114
2020-10-13,57.02,57.23,56.81,57.08,139488
2020-10-14,57.07,57.25,56.55,56.77,137511
2020-10-15,56.34,56.96,56.34,56.82,183588
2020-10-16,56.98,57.28,56.82,56.82,215531
2020-10-19,56.83,57.07,55.94,56.06,193381
2020-10-20,56.6,56.74,55.94,56.03,178167
2020-10-21,56.06,56.39,55.97,56.1,126930
2020-10-22,56.12,56.23,55.79,56.03,180233
2020-10-23,56.27,56.33,56,56.14,136056
2020-10-26,55.77,55.84,54.95,55.41,274038
2020-10-27,55.48,55.77,55.26,55.27,129425
2020-10-28,54.43,54.75,53.61,53.63,163199
2020-10-29,53.5,54.17,53.01,53.7,181918
2020-10-30,53.48,53.69,52.82,53.45,243447
2020-11-02,54.26,54.57,53.91,54.28,149694
2020-11-03,54.84,55.71,54.81,55.21,1352278
2020-11-04,55.45,56.16,55.17,55.23,298656
2020-11-05,55.89,56.15,55.49,55.69,242068
2020-11-06,55.76,56.18,55.65,55.88,444633
2020-11-09,57.45,57.74,55.7,55.73,426406
2020-11-10,55.77,57.02,55.74,56.86,200495
2020-11-11,57.19,57.6,56.86,57.34,419478
2020-11-12,57.26,57.34,56.72,57.22,176843
2020-11-13,57.4,58.07,57.25,58.01,113186
2020-11-16,58.33,58.5,58.08,58.5,155013
2020-11-17,58.08,58.45,57.95,58.1,214316
2020-11-18,58.17,58.39,57.31,57.31,221747
2020-11-19,57.11,57.55,57.02,57.51,182092
2020-11-20,57.43,57.6,57.1,57.11,99521
2020-11-23,57.17,57.28,56.79,57.11,186527
2020-11-24,57.46,57.7,57.34,57.52,151699
2020-11-25,57.53,57.69,57.42,57.49,140305
2020-11-27,57.52,57.52,57.3,57.46,48022
2020-11-30,57.34,57.5,56.88,57.49,206873
2020-12-01,57.76,58.01,57.61,57.93,143891
2020-12-02,57.88,58.02,57.3,57.49,153470
2020-12-03,57.37,57.73,57.34,57.61,180376
2020-12-04,57.74,58.09,57.63,58.09,216621
2020-12-07,58,58.05,57.59,57.86,190318
2020-12-08,57.61,58.29,57.55,58.19,451218
2020-12-09,58.24,58.27,57.79,57.94,123762
2020-12-10,58.01,58.03,57.55,57.75,83520
2020-12-11,57.49,57.97,57.49,57.85,130232
