date,open,high,low,close,volume
2020-07-27,25.12,25.12,24.63,24.81,308428
2020-07-28,24.73,25.39,24.73,25.19,479596
2020-07-29,25.22,25.33,25.11,25.29,237738
2020-07-30,25.04,25.29,24.99,25.29,384256
2020-07-31,25.18,25.39,24.98,25.35,504594
2020-08-03,25.3,25.31,24.93,25.06,310878
2020-08-04,25,25.45,25,25.32,355538
2020-08-05,25.39,25.4,24.92,25.03,305660
2020-08-06,24.94,25.19,24.87,25.16,404886
2020-08-07,25.07,25.71,25.07,25.61,337446
2020-08-10,25.72,25.8,25.54,25.59,185568
2020-08-11,25.63,25.68,24.99,25.05,776496
2020-08-12,25.17,25.58,25.13,25.43,454054
2020-08-13,25.24,25.42,25.18,25.37,326978
2020-08-14,25.28,25.35,25.09,25.14,230738
2020-08-17,25.15,25.33,25.03,25.11,179618
2020-08-18,25.1,25.19,24.88,24.99,415222
2020-08-19,25.03,25.07,24.88,24.93,299944
2020-08-20,24.78,24.95,24.65,24.71,306722
2020-08-21,24.74,24.79,24.51,24.75,328416
2020-08-24,24.79,24.97,24.59,24.95,194730
2020-08-25,25.01,25.01,24.66,24.74,447860
2020-08-26,24.51,24.6,24.37,24.44,294688
2020-08-27,24.56,24.71,24.39,24.54,438210
2020-08-28,24.59,24.63,24.36,24.61,334530
2020-08-31,24.57,24.83,24.57,24.69,325846
2020-09-01,24.53,24.57,24.31,24.4,486366
2020-09-02,24.41,25.27,24.36,25.17,479120
2020-09-03,25.26,25.42,24.64,24.87,416766
2020-09-04,25.03,25.06,24.41,24.74,420122
2020-09-08,24.74,24.78,24.36,24.59,476400
2020-09-09,24.77,25.24,24.75,24.91,583386
2020-09-10,24.71,24.78,24.47,24.47,484158
2020-09-11,24.5,24.62,24.36,24.56,562052
2020-09-14,24.7,25.01,24.65,24.88,418544
2020-09-15,25.18,25.42,24.92,25.07,262708
2020-09-16,24.88,25.18,24.86,25.01,370880
2020-09-17,24.82,24.93,24.63,24.82,329126
2020-09-18,24.82,24.82,24.32,24.38,647450
2020-09-21,24.18,24.33,23.91,24.22,431718
2020-09-22,24.24,24.54,24.22,24.37,279194
2020-09-23,24.39,24.43,23.98,23.99,487784
2020-09-24,23.99,24.44,23.84,24.28,350982
2020-09-25,24.14,24.69,24.1,24.68,432848
2020-09-28,24.8,24.98,24.69,24.72,262794
2020-09-29,24.81,24.96,24.62,24.74,338376
2020-09-30,24.94,25.07,24.75,24.96,342620
2020-10-01,24.99,25.26,24.96,25.2,337076
2020-10-02,24.98,25.63,24.95,25.49,659892
2020-10-05,25.56,25.89,25.4,25.82,428012
2020-10-06,25.83,26.33,25.74,26.04,489054
2020-10-07,26.17,26.3,26.01,26.19,328490
2020-10-08,26.31,26.71,26.3,26.66,437740
2020-10-09,26.8,26.81,26.49,26.67,306462
2020-10-12,26.69,27.02,26.62,26.84,377096
2020-10-13,26.62,26.72,26.36,26.67,243464
2020-10-14,26.68,26.8,26.48,26.61,313388
2020-10-15,26.37,26.75,26.3,26.62,272122
2020-10-16,26.63,26.99,26.61,26.88,297880
2020-10-19,26.93,27.01,26.59,26.66,265024
2020-10-20,26.77,26.96,26.68,26.83,191622
2020-10-21,26.76,26.92,26.67,26.75,158460
2020-10-22,26.76,27.17,26.72,27.14,270048
2020-10-23,27.28,27.31,27.06,27.2,335456
2020-10-26,27,27.23,26.82,27.19,403204
2020-10-27,27.21,27.45,27.05,27.17,330638
2020-10-28,26.8,27.14,26.33,26.37,592606
2020-10-29,26.25,26.78,25.95,26.45,267278
