date,open,high,low,close,volume
2020-07-27,95.33,96.35,95.2,96.14,90438
2020-07-28,96.32,96.62,95.96,96.07,80940
2020-07-29,96.26,97.42,96.24,97.05,86256
2020-07-30,96.12,96.54,95.42,96.33,73709
2020-07-31,96.2,96.26,94.6,95.82,107088
2020-08-03,96.53,97.12,96.3,96.78,89767
2020-08-04,96.52,96.83,95.8,96.3,41387
2020-08-05,96.91,96.99,96.6,96.89,150724
2020-08-06,96.83,97.06,95.66,96.31,47691
2020-08-07,96.24,96.64,95.95,96.6,63358
2020-08-10,96.64,96.72,96.06,96.27,78393
2020-08-11,96.87,96.87,95.5,95.68,85067
2020-08-12,96.36,97.59,96.33,97.34,75133
2020-08-13,96.98,97.26,96.55,97.17,80406
2020-08-14,96.96,97.4,96.62,96.98,36669
2020-08-17,97.12,97.9,97.11,97.57,58246
2020-08-18,97.79,97.88,97.03,97.5,38211
2020-08-19,97.68,97.88,97.03,97.22,66448
2020-08-20,96.77,97.08,96.65,96.91,78641
2020-08-21,96.72,97.12,96.24,97.02,102546
2020-08-24,97.47,97.47,95.98,96.52,85200
2020-08-25,97.14,97.24,96.77,97.21,68520
2020-08-26,96.91,97.2,96.06,97.07,90207
2020-08-27,97.14,98.3,96.66,97.86,73281
2020-08-28,97.98,98.08,97.37,98.06,65869
2020-08-31,97.92,98.77,97.82,98.49,108858
2020-09-01,98.22,98.32,96.84,97.41,139082
2020-09-02,97.49,99.64,97.16,99.43,114860
2020-09-03,99.55,99.56,95.98,96.78,113867
2020-09-04,96.85,97.16,94.83,96,116555
2020-09-08,95.73,95.73,94.14,94.43,250722
2020-09-09,95.16,96.86,95.1,96.04,95664
2020-09-10,96.09,96.31,94.37,94.61,86583
2020-09-11,95.06,95.39,94.25,94.97,95239
2020-09-14,95.76,96.84,95.71,96.39,62080
2020-09-15,96.99,97.19,96.24,96.51,54542
2020-09-16,96.93,97.16,96.21,96.28,68327
2020-09-17,95.45,96.28,95.11,95.94,81258
2020-09-18,96.06,96.44,95.01,95.85,156362
2020-09-21,94.39,94.42,92.76,94.04,107187
2020-09-22,93.87,94.14,93.01,93.88,97174
2020-09-23,94.2,94.26,92.82,92.87,54658
2020-09-24,92.62,92.89,91.88,92.46,72293
2020-09-25,92.03,94.17,92.03,93.94,72207
2020-09-28,94.82,95.47,94.59,94.63,76643
2020-09-29,94.87,95.38,94.3,94.67,40806
2020-09-30,94.96,96.93,94.96,96.16,125339
2020-10-01,96.64,96.99,95.43,95.84,146402
2020-10-02,94.86,95.88,94.56,94.9,171335
2020-10-05,95.75,97,95.62,96.91,95689
2020-10-06,97.06,97.23,95.54,95.66,87973
2020-10-07,96.36,97.73,96.34,97.44,117008
2020-10-08,97.84,98.21,97.71,97.91,85042
2020-10-09,98.42,99.05,98.23,98.77,71631
2020-10-12,99.26,99.81,98.92,99.44,82803
2020-10-13,98.93,99.39,98.48,98.75,53787
2020-10-14,98.65,99.08,97.84,98.13,75971
2020-10-15,96.94,97.57,96.77,97.42,107799
2020-10-16,97.76,99.11,97.73,98.41,150676
2020-10-19,98.65,98.92,96.5,96.78,99527
2020-10-20,97.07,97.74,96.85,96.95,71480
2020-10-21,96.85,97.18,96.26,96.49,52571
2020-10-22,96.69,98.09,96.69,97.96,99341
2020-10-23,98.37,99.01,97.79,98.28,50937
2020-10-26,97.61,97.61,96.29,97.17,109063
2020-10-27,96.98,97.32,96.48,96.52,65924
2020-10-28,94.89,95.5,93.38,93.41,140337
2020-10-29,93.31,93.77,92.16,92.76,135054
2020-10-30,92.62,93.11,91.49,92.7,143795
2020-11-02,94.14,94.57,93.37,94.36,125281
2020-11-03,95.47,96.74,95.46,95.81,115373
2020-11-04,98.3,101.53,98.3,99.94,313697
2020-11-05,101.29,101.38,100,100.31,176409
2020-11-06,100.16,100.87,99.59,100.13,112169
2020-11-09,103.82,103.9,101.1,101.1,131761
2020-11-10,101.66,101.79,100.4,101.4,142413
2020-11-11,102.19,102.21,100.84,101.29,86216
2020-11-12,101.09,101.51,100.27,100.87,76228
2020-11-13,101.48,102.59,101.26,102.27,112144
2020-11-16,102.84,102.91,101.55,101.99,143252
2020-11-17,101.56,101.71,100.91,101.33,169651
2020-11-18,101.53,101.57,99.49,99.49,316607
2020-11-19,99.38,99.55,98.7,99.42,115547
2020-11-20,99.19,99.63,98.9,99.14,89644
2020-11-23,99.7,99.71,98.34,99,123179
2020-11-24,99.33,99.85,98.9,99.25,133982
2020-11-25,99.27,99.37,98.45,98.81,123729
2020-11-27,99.22,99.84,98.98,99.72,52599
2020-11-30,99.95,100.1,99.32,100.09,259213
2020-12-01,101.01,101.98,100.71,100.79,106427
2020-12-02,100.91,101.8,100.91,101.62,243338
2020-12-03,101.61,101.91,101.09,101.43,278161
2020-12-04,101.47,102.59,101.46,102.58,124482
2020-12-07,102.49,102.55,101.61,102,94579
2020-12-08,101.81,102.82,101.79,102.76,114493
2020-12-09,103.14,103.14,101.93,102.45,57808
2020-12-10,102.41,102.74,102.08,102.25,71259
2020-12-11,101.88,102.04,101.13,101.79,106304
2020-12-14,102.6,103.09,101.07,101.07,157345
2020-12-15,101.65,102.36,101.23,102.13,87918
2020-12-16,101.82,102.39,101.43,101.82,69214
2020-12-17,102.07,102.99,102.05,102.9,72089
2020-12-18,103.1,103.25,101.98,103.04,182185
2020-12-21,101.58,102.06,100.16,102.04,85512
2020-12-22,101.68,102.03,101.15,101.68,155485
2020-12-23,102.05,102.5,101.79,101.79,152870
2020-12-24,101.72,102.2,101.68,102.02,23062
2020-12-28,102.76,102.77,102.03,102.27,64870
2020-12-29,102.93,103.24,102.48,102.74,67433
2020-12-30,103.06,103.31,102.66,102.7,28424
2020-12-31,102.72,103.97,102.45,103.97,86221
2021-01-04,104.13,104.13,101.72,103.35,264393
2021-01-05,103.34,104.5,102.79,104.08,108649
2021-01-06,103.17,105.8,103.05,105.54,221434
2021-01-07,105.7,107.1,105.56,106.97,196596
2021-01-08,107.26,107.92,106.48,107.47,141027
2021-01-11,107.48,108.13,107.38,107.96,145129
2021-01-12,107.86,107.86,106.32,106.8,101466
2021-01-13,106.76,107.43,106.34,107.1,54252
2021-01-14,107.24,107.64,106.62,106.74,81863
2021-01-15,106.51,107.32,106.04,107.08,132740
2021-01-19,107.92,108.22,107.4,107.89,47327
2021-01-20,107.98,108.64,107.45,108.55,86122
2021-01-21,108.34,108.34,107.6,107.98,54945
2021-01-22,107.61,108.23,107.51,107.8,91034
2021-01-25,107.75,108.4,107.53,108.36,87416
2021-01-26,108.65,108.89,107.91,107.96,83294
2021-01-27,106.69,106.69,104.4,104.69,132829
2021-01-28,105.57,107.5,105.42,106.24,143419
2021-01-29,105.75,106.79,104.57,105.37,76412
2021-02-01,106.22,106.48,105.6,105.69,133834
2021-02-02,106.49,107.05,106,106,177341
2021-02-03,105.79,105.92,104.95,105.26,176841
2021-02-04,105.23,106.12,105.07,105.65,130012
2021-02-05,106.39,106.51,105.64,105.89,173415
2021-02-08,106.32,106.4,105.7,105.99,190571
2021-02-09,105.99,106.24,105.91,106.18,96517
2021-02-10,106.83,106.88,105.99,106.34,180022
2021-02-11,106.68,106.83,106.06,106.57,177214
2021-02-12,106.34,107.46,106.34,107.43,48461
2021-02-16,107.58,107.59,105.99,106.28,152302
2021-02-17,106.11,106.71,105.88,106.66,41055
2021-02-18,106.15,106.42,105.59,105.96,61291
2021-02-19,106.13,106.18,104.66,104.72,121959
2021-02-22,104.25,104.81,103.57,104.47,143604
2021-02-23,104.4,105.02,103.86,104.34,154238
2021-02-24,104.44,105.6,104.12,105.04,125969
2021-02-25,104.87,105.27,103.47,104.02,139799
2021-02-26,104.08,104.23,102.83,103.22,227710
2021-03-01,104.18,104.89,104.16,104.43,78313
2021-03-02,104.62,104.84,104.05,104.12,168637
2021-03-03,103.75,103.85,102.6,102.77,175608
2021-03-04,102.59,103.23,100.66,101.37,236398
2021-03-05,102.13,103.79,101.22,103.44,220190
2021-03-08,103.6,104.82,103.15,103.15,107473
2021-03-09,104.01,105.42,103.83,103.85,112998
2021-03-10,104.54,105.08,104.02,104.02,130853
2021-03-11,104.44,105.24,104.31,104.68,112013
2021-03-12,104.48,105.05,104.32,104.95,116287
2021-03-15,104.82,105.65,104.61,105.65,97350
2021-03-16,105.83,105.9,105.19,105.59,102354
2021-03-17,105.04,105.59,104.56,105.15,107484
2021-03-18,104.8,105.82,104.8,104.91,131872
2021-03-19,105,105.96,104.56,105.32,246560
2021-03-22,105.04,106.3,104.89,106.29,137262
2021-03-23,106.15,106.27,104.92,105.16,170179
2021-03-24,105.13,105.86,105.08,105.15,151918
2021-03-25,105.23,105.69,104.15,105.52,178942
2021-03-26,105.78,107.61,105.62,107.61,214459
2021-03-29,107.1,108.36,107.05,107.89,170701
2021-03-30,107.57,107.66,106.78,107.04,119012
2021-03-31,107.36,107.88,107.09,107.24,184673
2021-04-01,107.38,107.5,106.61,106.95,174214
2021-04-05,107.48,107.98,107.3,107.63,129655
2021-04-06,107.67,108.1,107.09,107.28,132648
2021-04-07,107.24,107.53,106.73,107,151770
2021-04-08,107.35,107.63,107.03,107.13,98398
2021-04-09,107.2,108.4,107.2,108.36,104114
2021-04-12,108.18,108.67,108.13,108.41,167518
2021-04-13,108.22,109.17,108.21,108.92,50350
2021-04-14,108.95,109.34,108.71,108.87,83128
2021-04-15,109.41,111.08,109.41,110.75,176897
2021-04-16,111.31,111.7,110.98,111.58,189069
2021-04-19,111.49,111.64,111.09,111.57,118898
2021-04-20,111.14,112.34,111.14,112.03,142493
2021-04-21,112.54,113.43,112.4,113.32,159631
2021-04-22,113.25,113.54,112.46,112.86,161596
2021-04-23,112.79,113.85,112.66,113.6,78695
2021-04-26,113.51,113.51,113.04,113.13,127867
2021-04-27,112.84,112.95,112.41,112.61,130275
2021-04-28,112.36,112.51,112.09,112.23,166742
2021-04-29,112.25,112.25,111.21,111.79,107150
2021-04-30,111.5,111.99,111.26,111.44,111681
2021-05-03,111.95,112.84,111.92,112.72,131568
2021-05-04,112.38,112.89,112.1,112.77,246300
2021-05-05,112.95,113.39,112.53,113.01,197465
2021-05-06,112.45,113.18,111.84,113.17,192259
2021-05-07,113.57,114.56,113.57,113.93,130054
2021-05-10,114.33,115,114.09,114.09,148323
2021-05-11,113.53,113.99,112.64,112.94,229163
2021-05-12,112.46,112.8,111.72,111.8,227391
2021-05-13,111.89,113.34,111.89,112.9,205527
2021-05-14,113.49,113.77,113.13,113.38,177532
2021-05-17,113.39,113.79,113.13,113.18,181051
2021-05-18,113.29,113.87,112.78,113.18,255040
2021-05-19,112.34,113.1,111.7,113.02,223474
2021-05-20,113.08,114.7,113.08,114.2,207155
2021-05-21,114.75,115.4,114.14,114.16,240461
2021-05-24,114.76,115.03,114.31,114.34,171408
2021-05-25,114.45,114.51,113.88,113.99,293972
2021-05-26,113.91,113.95,112.87,113.36,157079
2021-05-27,113.38,113.68,113.04,113.16,381894
2021-05-28,113.74,114.46,113.47,113.51,347670
2021-06-01,113.71,113.71,111.58,111.62,309117
2021-06-02,111.73,112.05,111.19,111.4,229367
2021-06-03,111.08,112.08,110.8,111.82,276519
2021-06-04,112.39,112.7,112.05,112.18,193686
2021-06-07,112.42,113.53,112.24,112.57,311932
2021-06-08,112.81,112.88,111.35,112.17,282615
2021-06-09,112.58,113.47,112.58,113.3,261705
2021-06-10,113.69,115.35,113.58,115.25,247732
2021-06-11,115.01,115.03,113.85,114.39,156987
2021-06-14,114.26,114.53,113.71,114.52,191983
2021-06-15,114.69,114.77,114.08,114.49,168900
2021-06-16,114.76,115.23,113.81,114.11,251527
2021-06-17,114.07,115.27,113.91,114.97,229302
2021-06-18,114.08,114.24,113.52,113.56,302693
2021-06-21,113.98,115.23,113.65,115.05,212139
2021-06-22,115.06,115.43,114.73,115.32,206244
2021-06-23,115.2,115.24,114.77,114.78,188827
2021-06-24,115.5,116.16,115.27,115.37,284194
2021-06-25,115.35,116.27,115.34,115.92,350452
2021-06-28,116.09,116.24,115.66,116.09,139694
2021-06-29,116.11,116.58,115.97,116.16,109814
2021-06-30,116.18,116.34,115.73,116.21,196500
2021-07-01,116.26,117.26,116.26,117.26,187668
2021-07-02,117.36,118.41,117.12,118.27,188763
2021-07-06,118.06,118.18,117.38,118.16,163851
2021-07-07,118.23,118.92,117.8,118.91,244538
2021-07-08,117.96,118.3,117.23,118.28,122109
2021-07-09,118.68,119.06,118.49,118.74,151231
2021-07-12,118.72,119.51,118.72,118.96,101946
2021-07-13,119.16,119.2,118.56,118.82,160521
2021-07-14,119.08,119.08,118.5,118.64,234508
2021-07-15,118.15,118.58,117.56,118.34,310132
2021-07-16,118.52,119.03,118.21,118.59,238372
2021-07-19,117.78,118.39,116.41,117.26,391528
2021-07-20,117.83,119.44,117.83,118.8,408176
2021-07-21,119.25,119.25,117.73,118.96,213341
2021-07-22,119.46,119.84,118.77,119.81,290101
2021-07-23,120.37,121.36,120.28,121.22,211848
2021-07-26,120.81,121.15,120.07,120.45,126103
2021-07-27,120.2,121.02,120.03,120.98,144908
2021-07-28,120.68,121.81,120.66,121.48,117030
2021-07-29,121.83,121.91,121.41,121.72,121235
2021-07-30,121.68,122.29,121.43,121.81,133396
2021-08-02,122.32,122.51,121.74,122.03,303450
2021-08-03,122.56,123.76,122.17,123.73,183950
2021-08-04,123.45,124.01,123.15,123.23,137598
2021-08-05,122.89,122.95,121.77,122.75,177880
2021-08-06,122.48,122.73,121.82,122.6,202519
2021-08-09,123.28,123.3,122.7,123.06,125333
2021-08-10,122.72,123.37,122.32,122.79,135392
2021-08-11,122.92,122.92,121.47,121.58,200326
2021-08-12,121.64,122.62,121.64,122.54,132941
2021-08-13,123.04,123.31,122.84,123.3,88543
2021-08-16,123.22,124.71,122.88,124.68,127216
2021-08-17,124.52,126.12,124.52,126.12,269775
2021-08-18,126.02,126.13,124.18,124.28,256004
2021-08-19,123.66,125.44,123.66,124.85,189719
2021-08-20,124.92,125.89,124.83,125.49,145764
2021-08-23,126.12,126.29,125.54,125.55,113488
2021-08-24,125.34,125.53,124.87,125.1,139619
2021-08-25,124.84,124.99,124.32,124.79,157178
2021-08-26,124.95,124.96,124.06,124.3,153901
2021-08-27,124.41,124.91,123.95,124.11,233535
2021-08-30,124.24,125.31,124.05,124.85,134913
2021-08-31,125.01,125.45,124.25,124.67,198474
2021-09-01,124.69,124.75,123.55,124.71,207861
2021-09-02,125.45,126.07,125.42,126.04,227802
2021-09-03,125.91,126.37,125.41,126.22,140266
2021-09-07,125.73,125.73,124.64,125.5,217916
2021-09-08,124.98,125.61,124.98,125.41,131879
2021-09-09,125.4,125.48,123.9,123.93,199859
2021-09-10,124.39,124.39,122.82,122.83,231966
2021-09-13,123.26,123.32,121.46,122.05,185221
2021-09-14,122.65,122.9,121.87,121.95,187026
2021-09-15,121.87,123.41,121.82,122.84,154891
2021-09-16,123.12,123.12,121.71,122.51,177047
2021-09-17,122.71,122.74,121.86,122.63,288309
2021-09-20,121.18,122.41,120.32,121.4,221653
2021-09-21,121.94,122.77,121.55,121.55,255094
2021-09-22,121.7,122.37,121.22,121.68,159095
2021-09-23,122.42,123.35,122.42,122.65,289436
2021-09-24,122.62,122.83,121.89,122.1,167935
2021-09-27,121.71,121.72,120.16,120.38,212602
2021-09-28,119.44,119.44,117.97,118.36,273875
2021-09-29,119.14,119.82,118.68,119.27,198179
2021-09-30,119.67,120.38,117.75,117.75,251808
2021-10-01,117.89,118.39,115.95,117.83,403987
2021-10-04,117.69,117.89,115.47,116.09,254796
2021-10-05,116.51,117.91,116.37,116.73,275219
2021-10-06,115.97,116.62,115.25,116.58,297637
2021-10-07,117.26,118.82,117.26,118.02,247164
2021-10-08,118.19,118.25,117.31,117.48,149572
2021-10-11,117.13,117.94,116.53,116.57,157948
2021-10-12,116.64,116.88,115.71,116.02,212060
2021-10-13,116.28,116.66,115.51,116.13,134706
2021-10-14,117.61,118.29,117.61,117.86,220910
2021-10-15,118.29,118.95,118.2,118.45,184405
2021-10-18,117.87,117.98,117.14,117.59,183873
2021-10-19,118.32,119.46,118.32,119.14,293381
2021-10-20,120.08,121.04,120.08,120.86,307983
2021-10-21,121.12,121.43,120.4,121.41,151719
2021-10-22,121.26,121.9,121.12,121.87,204608
2021-10-25,121.59,122.1,121.06,121.99,139416
2021-10-26,122.27,122.94,121.63,122.6,113017
2021-10-27,122.71,122.71,121.6,121.6,268076
2021-10-28,121.99,123.1,121.99,122.63,133724
2021-10-29,122.11,123.95,122.11,123.8,247333
2021-11-01,123.98,124.42,123.22,123.66,381990
2021-11-02,124.18,125.08,123.14,124.45,325264
2021-11-03,124.22,125.23,123.85,125.19,134871
2021-11-04,124.78,124.81,123.48,124.34,216678
2021-11-05,122.62,123.73,122.07,123.04,303214
2021-11-08,123.21,123.84,122.69,123.68,105396
2021-11-09,123.75,123.78,123.04,123.22,104687
2021-11-10,123.44,124.06,123.34,123.59,138258
2021-11-11,123.59,123.59,122.93,123.25,107813
2021-11-12,124.02,124.06,123.18,123.82,106187
2021-11-15,123.82,123.91,122.96,123.04,101178
2021-11-16,123.04,124.25,123.04,123.53,132839
2021-11-17,123.66,124.21,123.37,123.74,90207
2021-11-18,123.89,124.03,123.4,123.8,132753
2021-11-19,124.37,124.57,122.95,122.97,197187
2021-11-22,123.15,123.65,122.41,122.5,293115
2021-11-23,121.9,122.74,121.64,122.61,185685
2021-11-24,122.35,122.76,122,122.55,119778
2021-11-26,123.1,123.64,121.72,122.15,124486
2021-11-29,122.95,123.27,122.33,122.46,293480
2021-11-30,121.71,122.3,119.9,120.14,257054
2021-12-01,120.68,122.23,119.86,119.86,259290
2021-12-02,119.82,120.86,119.31,120.44,165779
2021-12-03,121.27,121.64,119.69,120.66,203761
2021-12-06,120.99,121.86,120.78,121.31,245308
2021-12-07,122.17,123.17,122.06,122.81,202339
2021-12-08,123.31,123.9,122.64,123.74,187727
2021-12-09,123.81,124.48,123.66,124.09,129145
2021-12-10,123.89,124.8,123.75,124.53,171655
2021-12-13,124.58,126.06,124.58,125.68,229934
2021-12-14,125.14,125.83,124.59,125.16,223836
2021-12-15,125.66,127.83,125.58,127.72,168320
2021-12-16,127.86,129.18,127.58,128.48,306917
2021-12-17,127.98,128.67,127.14,127.63,320441
2021-12-20,127.3,127.65,125.81,126.82,179482
2021-12-21,127.17,127.44,126.12,127.37,211980
2021-12-22,127.52,128.95,127.14,128.84,74886
2021-12-23,129.2,129.81,129.17,129.37,99092
2021-12-27,129.94,130.77,129.74,130.77,169795
2021-12-28,130.94,131.1,130.12,130.38,62231
2021-12-29,130.44,131.43,130.29,131.17,116075
2021-12-30,131.7,131.87,131.27,131.44,110645
2021-12-31,131.68,131.78,130.85,130.86,131108
2022-01-03,130.29,130.33,128.42,129.55,203484
2022-01-04,129.29,129.29,127.28,127.81,194842
2022-01-05,128.17,128.88,126.87,126.87,427948
2022-01-06,126.18,126.9,125.25,125.39,250133
2022-01-07,125.17,125.38,124.56,124.77,116343
2022-01-10,124.09,126.16,123.97,126.12,144285
2022-01-11,126.42,127.1,125.42,127.08,157391
2022-01-12,126.54,126.93,126.2,126.67,161505
2022-01-13,126.51,126.65,124.55,124.64,131553
2022-01-14,124.45,124.67,123.28,124.5,189300
2022-01-18,123.31,123.39,122.51,122.82,198782
2022-01-19,123.33,123.93,122.2,122.3,147740
2022-01-20,122.5,123.72,121.44,121.54,191142
2022-01-21,121.78,122.08,120.1,120.28,284521
2022-01-24,119.19,120.08,116.07,119.88,173677
2022-01-25,118.54,120.11,117.32,119.04,182447
2022-01-26,119.08,120.36,117.56,118.49,215503
2022-01-27,119.06,120.59,118.43,118.71,157479
2022-01-28,118.79,121.23,117.97,121.19,161437
2022-01-31,120.95,122.13,120.8,121.97,238906
2022-02-01,122.34,122.43,121.29,122.38,112169
2022-02-02,122.31,124.16,121.91,123.85,149212
2022-02-03,123.72,123.8,123.13,123.33,158506
2022-02-04,122.39,123.76,122,122.82,149963
