date,open,high,low,close,volume
2020-07-27,64.75,65.1,64.51,65.01,37376
2020-07-28,65.03,65.05,64.25,64.33,36430
2020-07-29,64.82,65.09,64.72,64.99,44584
2020-07-30,64.36,65.24,64.22,64.93,63876
2020-07-31,65.72,65.82,64.58,65.28,101250
2020-08-03,65.36,65.39,65.09,65.2,56632
2020-08-04,65.15,65.64,65.14,65.64,28264
2020-08-05,65.96,66.49,65.84,66.48,44318
2020-08-06,66.31,66.91,66.31,66.75,40972
2020-08-07,66.82,67.06,66.41,66.87,90156
2020-08-10,67.3,67.71,67.06,67.66,42312
2020-08-11,68.03,68.44,67.4,67.57,78484
2020-08-12,68.09,68.58,68.06,68.47,36748
2020-08-13,68.51,68.82,68.3,68.4,45264
2020-08-14,68.34,68.55,68.17,68.4,31196
2020-08-17,68.84,69.36,68.77,69.28,17378
2020-08-18,69.41,69.86,69.12,69.71,68582
2020-08-19,69.79,69.91,69.32,69.42,97502
2020-08-20,68.85,69.49,68.84,69.31,62802
2020-08-21,69.26,69.68,69.24,69.67,63812
2020-08-24,70.26,70.73,70.21,70.65,60208
2020-08-25,70.62,70.93,70.38,70.92,55594
2020-08-26,71.01,71.75,70.89,71.61,54380
2020-08-27,71.92,71.95,71.06,71.27,46432
2020-08-28,71.6,71.85,71.4,71.73,115716
2020-08-31,71.72,71.91,71.46,71.63,73852
2020-09-01,71.7,72.29,71.69,72.28,91990
2020-09-02,72.64,73.42,72.36,73.33,63950
2020-09-03,72.89,73.04,70.27,70.97,66738
2020-09-04,71.22,71.54,68.6,70.17,88772
2020-09-08,68.72,70.15,68.72,69.15,117604
2020-09-09,69.73,71.02,69.65,70.52,115432
2020-09-10,70.94,71.55,69.27,69.46,110572
2020-09-11,69.75,70.27,69.01,69.64,36532
2020-09-14,70.44,70.86,70.07,70.34,67816
2020-09-15,70.89,71.13,70.62,70.91,36476
2020-09-16,71.25,71.47,70.49,70.5,26776
2020-09-17,69.31,69.97,68.95,69.51,160336
2020-09-18,69.58,69.69,68,68.58,82416
2020-09-21,67.36,67.58,66.44,67.58,94250
2020-09-22,68.12,69.05,67.76,69.02,89394
2020-09-23,69.72,69.79,67.73,67.86,73248
2020-09-24,67.54,68.76,67.11,67.84,74880
2020-09-25,67.8,68.94,67.41,68.75,53984
2020-09-28,69.69,70.3,69.4,70.07,54158
2020-09-29,70.05,70.14,69.57,69.63,82790
2020-09-30,70.09,71.01,69.82,70.21,84550
2020-10-01,70.9,71.16,70.53,71.08,95008
2020-10-02,69.76,71.02,69.76,70.78,128800
2020-10-05,71.31,71.8,71.15,71.72,69832
2020-10-06,71.84,72.11,70.29,70.42,113448
2020-10-07,71.4,72.16,71.39,72.06,50004
2020-10-08,72.32,72.53,72.05,72.49,31776
2020-10-09,73.01,73.4,72.79,73.22,65048
2020-10-12,73.78,74.55,73.71,74.18,84182
2020-10-13,74.14,74.51,73.85,74.22,41732
2020-10-14,74.31,74.39,73.15,73.35,47908
2020-10-15,72.31,73.73,72.22,73.63,55308
2020-10-16,73.96,74.3,73.15,73.15,37832
2020-10-19,73.57,73.71,71.93,72.07,56346
2020-10-20,72.49,73.49,72.49,72.72,58534
2020-10-21,72.66,73.05,72.05,72.28,58284
2020-10-22,72.17,72.49,71.51,72.41,37364
2020-10-23,72.47,73.05,72.27,73.02,31296
2020-10-26,72.26,72.5,70.66,71.62,32242
2020-10-27,71.87,71.95,71.48,71.63,50526
2020-10-28,70.31,70.67,69.33,69.34,70886
2020-10-29,69.54,70.55,69.27,69.91,56734
2020-10-30,69.25,69.25,67.68,68.21,102694
2020-11-02,69.01,69.35,68.04,68.71,65732
2020-11-03,69.45,70.64,69.17,70.27,51148
2020-11-04,71.13,72.58,71.11,71.79,40538
2020-11-05,72.98,73.52,72.74,73.17,64194
2020-11-06,72.58,73.05,72.41,72.92,15128
2020-11-09,75.31,75.31,72.66,72.66,45270
2020-11-10,72.58,72.69,71.68,72.38,65532
2020-11-11,72.85,73.33,72.77,73.06,35124
2020-11-12,73.08,73.08,71.73,72.13,32690
2020-11-13,72.66,73.39,72.48,73.26,115274
2020-11-16,73.68,74.19,73.51,74.19,78750
2020-11-17,73.9,74.22,73.37,73.95,55304
2020-11-18,73.96,74.44,73.43,73.44,81230
2020-11-19,73.36,73.82,73.3,73.78,66284
2020-11-20,73.81,73.86,73.38,73.38,71134
2020-11-23,73.98,74.38,73.63,74.16,87524
2020-11-24,74.69,75.49,74.68,75.29,73382
2020-11-25,75.17,75.47,75.04,75.36,30178
2020-11-27,75.77,75.77,75.35,75.52,13408
2020-11-30,75.19,75.19,74.13,75.1,124438
2020-12-01,75.45,75.96,75.21,75.68,46534
2020-12-02,75.23,75.27,74.97,75.16,27672
2020-12-03,75.41,75.68,75.24,75.32,22716
2020-12-04,75.48,75.61,75.31,75.46,20334
2020-12-07,75.16,75.28,74.92,75.28,43960
2020-12-08,74.92,75.13,74.58,75.13,46120
2020-12-09,75.45,75.65,74.77,75.11,208910
2020-12-10,74.84,75.28,74.83,75.02,31300
2020-12-11,74.85,74.91,74.13,74.6,36128
2020-12-14,75.29,75.7,74.79,74.89,97444
2020-12-15,75.25,75.76,75.12,75.71,56664
2020-12-16,75.98,76.43,75.89,76.28,54334
2020-12-17,76.66,76.76,76.44,76.76,67086
2020-12-18,76.84,76.84,76.08,76.38,65796
2020-12-21,75.19,75.96,74.87,75.51,63688
2020-12-22,74.99,75.23,74.59,75.17,46848
2020-12-23,75.17,75.6,75.17,75.38,53014
2020-12-24,75.4,75.54,75.25,75.54,7876
2020-12-28,76.14,76.69,75.91,76.39,51340
2020-12-29,76.65,76.77,76.08,76.42,43074
2020-12-30,76.77,76.95,76.61,76.83,41868
2020-12-31,76.85,76.99,76.54,76.98,47002
2021-01-04,77.36,77.37,75.32,76.18,160104
2021-01-05,76,77.04,76,76.81,67450
2021-01-06,77.02,78.44,76.95,77.64,69044
2021-01-07,78.29,79.39,78.29,79.17,59608
2021-01-08,80.12,80.82,79.62,80.73,61438
2021-01-11,79.56,80.11,79.07,79.24,81070
2021-01-12,79.62,80.7,79.62,80.49,47880
2021-01-13,80.56,80.71,80.23,80.46,24764
2021-01-14,80.44,80.9,79.85,79.95,30810
2021-01-15,79.88,79.99,79.01,79.31,34766
2021-01-19,80.05,80.08,79.45,79.78,30324
2021-01-20,80.6,81.48,80.36,81.33,71190
2021-01-21,81.62,82.1,81.55,81.64,39630
2021-01-22,81.24,81.5,80.95,81.46,42572
2021-01-25,81.69,82.21,80.32,81.64,41114
2021-01-26,81.92,82.02,81.44,81.58,36400
2021-01-27,80.65,80.65,78.72,78.93,82368
2021-01-28,78.49,80.11,78.49,79.35,39724
2021-01-29,78.92,78.93,77.07,77.53,190352
2021-02-01,78.58,79.59,78.14,79.5,41264
2021-02-02,80.99,81.73,80.92,81.22,32382
2021-02-03,81.39,81.47,80.76,80.78,25358
2021-02-04,81.09,81.6,81.06,81.6,54756
2021-02-05,81.94,82.56,81.75,82.32,47220
2021-02-08,82.97,82.97,82.41,82.85,25766
2021-02-09,82.62,82.7,82.34,82.38,51600
2021-02-10,82.52,82.52,81,81.57,57404
2021-02-11,81.77,82.05,81.06,81.35,26696
2021-02-12,80.94,81.5,80.86,81.5,28444
2021-02-16,81.56,81.71,80.98,81.13,50892
2021-02-17,80.63,81.66,80.37,81.59,44594
2021-02-18,80.96,81.86,80.71,81.6,24204
2021-02-19,81.85,81.96,81.03,81.11,126480
2021-02-22,80.37,80.55,79.38,79.42,81414
2021-02-23,77.85,79.27,76.23,78.87,211940
2021-02-24,78.83,79.83,78.03,79.77,134010
2021-02-25,79.1,79.1,76.44,76.86,77508
2021-02-26,77.5,78.08,76.15,77.2,71936
2021-03-01,78.19,79.01,77.9,78.92,45912
2021-03-02,78.86,79.06,77.96,77.96,52412
2021-03-03,77.88,78.1,76.17,76.17,85870
2021-03-04,76.21,76.61,73.2,74.55,163828
2021-03-05,74.86,75.2,71.62,75.08,101360
2021-03-08,75.41,76.61,75.07,75.08,96956
2021-03-09,76.69,78.43,76.35,77.98,77766
2021-03-10,79.15,79.38,77.82,78.37,92226
2021-03-11,79.37,79.84,78.98,79.56,139510
2021-03-12,78.57,79.77,78.55,79.73,40088
2021-03-15,80.07,80.83,79.68,80.83,59744
2021-03-16,80.78,80.91,79.7,79.99,35236
2021-03-17,79.48,81.38,79.48,81.14,59306
2021-03-18,80.39,80.73,79.03,79.16,126436
2021-03-19,79.01,79.78,78.24,79.63,462822
2021-03-22,80.31,80.79,79.91,80.14,35298
2021-03-23,80.17,80.46,79.2,79.42,63090
2021-03-24,79.76,80.16,78.26,78.26,68406
2021-03-25,77.41,79.12,77.41,78.9,34290
2021-03-26,79.14,79.56,78.22,79.56,27492
2021-03-29,79.38,79.73,78.61,79.09,52460
2021-03-30,78.7,80,78.61,79.84,57622
2021-03-31,80.2,80.95,80.14,80.52,95644
2021-04-01,81.26,81.27,80.92,81.18,85096
2021-04-05,82.6,83.28,82.36,83.04,25552
2021-04-06,83,83.69,83,83.35,44224
2021-04-07,83.3,83.6,82.99,83.1,23336
2021-04-08,83.36,83.69,83.09,83.49,47042
2021-04-09,83.42,84.29,83.42,84.28,31562
2021-04-12,84.44,84.93,84.33,84.85,47174
2021-04-13,85.08,85.86,84.91,85.77,14934
2021-04-14,85.97,86.31,84.75,84.87,47748
2021-04-15,85.39,85.56,85.09,85.5,68982
2021-04-16,85.6,86.29,85.51,86.16,78458
2021-04-19,85.68,85.68,84.96,85.2,36316
2021-04-20,84.94,85.09,83.51,84.12,57282
2021-04-21,83.87,85.33,83.85,85.25,50898
2021-04-22,85.41,85.49,84.06,84.37,32324
2021-04-23,84.53,85.48,84.53,85.18,30384
2021-04-26,85.52,85.75,85.03,85.55,50756
2021-04-27,85.65,85.81,85.31,85.43,37056
2021-04-28,85.37,85.81,85.28,85.34,47612
2021-04-29,85.94,85.94,84.67,85.36,145724
2021-04-30,85.38,85.96,85.38,85.68,32386
2021-05-03,86.03,86.16,85.24,85.32,30826
2021-05-04,84.81,84.81,83.49,84.39,46996
2021-05-05,84.95,85.07,84.08,84.16,42236
2021-05-06,84.26,84.45,83.59,84.34,56908
2021-05-07,84.65,85.3,84.61,85.16,78904
2021-05-10,84.99,85,83.62,83.62,60320
2021-05-11,82.08,82.88,81.42,82.64,111860
2021-05-12,81.76,82.05,79.72,79.84,181626
2021-05-13,80.75,81.15,79.55,80.39,107642
2021-05-14,81.08,81.96,81.07,81.88,68348
2021-05-17,81.55,81.78,81.05,81.64,99782
2021-05-18,81.78,82.18,81.04,81.04,112712
2021-05-19,79.73,80.38,79.32,80.38,59302
2021-05-20,80.89,81.32,80.79,81.15,51444
2021-05-21,81.61,81.61,80.73,80.77,78916
2021-05-24,81.07,81.92,81.07,81.53,66470
2021-05-25,82.06,82.17,81.33,81.82,68750
2021-05-26,82.17,82.93,82.17,82.6,89604
2021-05-27,82.9,83.09,82.66,82.91,150632
2021-05-28,83.23,83.23,82.62,82.82,140578
2021-06-01,83.25,83.25,82.51,82.64,82480
2021-06-02,82.47,82.51,82.06,82.25,65522
2021-06-03,81.66,81.94,81.17,81.28,87114
2021-06-04,81.77,82,81.54,81.97,108330
2021-06-07,81.91,81.98,81.32,81.96,113542
2021-06-08,82.47,82.87,82.11,82.64,87270
2021-06-09,82.87,82.87,82.13,82.16,117558
2021-06-10,82.31,82.65,82.13,82.56,89264
2021-06-11,82.9,82.99,82.62,82.98,125450
2021-06-14,82.98,83.12,82.54,82.96,92978
2021-06-15,82.81,82.81,82.31,82.55,110950
2021-06-16,82.66,82.8,81.91,82.58,82250
2021-06-17,82.45,83.21,82.26,82.93,139558
2021-06-18,82.29,82.8,82.12,82.46,190894
2021-06-21,82.76,83.31,82.58,83.11,73780
2021-06-22,83.29,84.23,83.18,83.9,98700
2021-06-23,84.21,84.71,84.21,84.55,85806
2021-06-24,85.19,85.36,84.68,84.8,161600
2021-06-25,85.74,85.74,85.19,85.3,185206
2021-06-28,85.3,85.46,84.95,85.39,80532
2021-06-29,85.57,85.77,85.46,85.62,42218
2021-06-30,85.8,86.03,85.66,85.72,43292
2021-07-01,85.97,86.17,85.83,86.11,78320
2021-07-02,86.4,86.92,86.29,86.89,54676
2021-07-06,87.15,87.21,86.29,87.01,113536
2021-07-07,87.23,87.39,86.44,86.93,78128
2021-07-08,85.55,86.95,85.24,86.7,62392
2021-07-09,87.15,87.61,87.14,87.55,54502
2021-07-12,87.82,88.18,87.7,88.18,37466
2021-07-13,87.97,88.11,87.05,87.13,77420
2021-07-14,87.62,87.68,86.91,86.95,54396
2021-07-15,86.7,87.16,85.91,86.46,47354
2021-07-16,86.76,86.76,85.36,85.43,118396
2021-07-19,84.02,84.43,83.43,84.35,84820
2021-07-20,84.56,86.2,84.28,86.06,68482
2021-07-21,86.69,86.82,86.31,86.78,63546
2021-07-22,86.7,87.24,86.63,87.13,238548
2021-07-23,87.41,88.07,87.27,87.94,57312
2021-07-26,88.14,88.59,87.8,88.56,49612
2021-07-27,87.94,88.01,86.82,87.69,36276
2021-07-28,87.58,87.64,87.1,87.45,19328
2021-07-29,87.99,88.6,87.91,88.39,41724
2021-07-30,86.55,87.32,86.42,86.59,43486
2021-08-02,87.29,87.47,86.76,86.84,42254
2021-08-03,87.23,87.46,86.41,87.46,96318
2021-08-04,87.29,87.35,86.65,86.66,202168
2021-08-05,86.83,87.5,86.83,87.45,88958
